Main_animal,Animal,Manure_type,Storage
Bovine,Male_calf_2,Slurry,0.003
Bovine,Male_calf_2,Solid,0.3
Bovine,Male_calf_1-2,Slurry,0.003
Bovine,Male_calf_1-2,Solid,0.3
Bovine,Non_dairy,Slurry,0.003
Bovine,Non_dairy,Solid,0.3
Bovine,Other_calf,Slurry,0.003
Bovine,Other_calf,Solid,0.3
Bovine,Beef_calf,Slurry,0.003
Bovine,Beef_calf,Solid,0.3
Bovine,Dairy_cows,Slurry,0.003
Bovine,Dairy_cows,Solid,0.3
Bovine,Female_calf_2,Slurry,0.003
Bovine,Female_calf_2,Solid,0.3
Bovine,Female_calf_1-2,Slurry,0.003
Bovine,Female_calf_1-2,Solid,0.3
Bovine,Female_calf-1,Slurry,0.003
Bovine,Female_calf-1,Solid,0.3
Equides,Horses,Solid,0.3
Equides,Other_equidae,Solid,0.3
Goats,Goats,Solid,0.3
Sheep,Ewes,Solid,0.3
Rabbits,Rabbits,Solid,0.3
Pigs,Pregnant_sows,Slurry,0.003
Pigs,Pregnant_sows,Solid,0.3
Pigs,Non_pregnant_sows,Slurry,0.003
Pigs,Non_pregnant_sows,Solid,0.3
Pigs,Other_swine,Slurry,0.003
Pigs,Other_swine,Solid,0.3
Pigs,Pigs_50,Slurry,0.003
Pigs,Pigs_50,Solid,0.3
Pigs,Pigs_20,Slurry,0.003
Pigs,Pigs_20,Solid,0.3
Poultry,Broilers,Solid,0.3
Poultry,Ducks,Slurry,0.003
Poultry,Ducks,Solid,0.3
Poultry,Geese,Slurry,0.003
Poultry,Geese,Solid,0.3
Poultry,Laying_hens,Solid,0.3
Poultry,Laying_hens,Slurry,0.003
Poultry,Turkeys,Solid,0.3
Poultry,Rep_hens,Solid,0.3
Poultry,Rep_hens,Slurry,0.003
