Main_animal,Animal,Manure_type,Housing,Yards,Storage,Spreading,Grazing
Bovine,Male_calf_2,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Male_calf_2,Solid,0.08,0.53,0.32,0.68,0.14
Bovine,Male_calf_1-2,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Male_calf_1-2,Solid,0.08,0.53,0.32,0.68,0.14
Bovine,Non_dairy,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Non_dairy,Solid,0.08,0.53,0.32,0.68,0.14
Bovine,Other_calf,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Other_calf,Solid,0.08,0.53,0.32,0.68,0.14
Bovine,Beef_calf,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Beef_calf,Solid,0.08,0.53,0.32,0.68,0.14
Bovine,Dairy_cows,Slurry,0.24,0.3,0.25,0.55,0.14
Bovine,Dairy_cows,Solid,0.08,0.3,0.32,0.68,0.14
Bovine,Female_calf_2,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Female_calf_2,Solid,0.08,0.53,0.32,0.68,0.14
Bovine,Female_calf_1-2,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Female_calf_1-2,Solid,0.08,0.53,0.32,0.68,0.14
Bovine,Female_calf-1,Slurry,0.24,0.53,0.25,0.55,0.14
Bovine,Female_calf-1,Solid,0.08,0.53,0.32,0.68,0.14
Equides,Horses,Solid,0.22,0,0.35,0.9,0.35
Equides,Other_equidae,Solid,0.22,0,0.35,0.9,0.35
Goats,Goats,Solid,0.22,0.75,0.28,0.9,0.09
Sheep,Ewes,Solid,0.22,0.75,0.32,0.9,0.09
Rabbits,Rabbits,Solid,0.28,0,0.17,0.66,0.09
Pigs,Pregnant_sows,Slurry,0.35,0,0.11,0.29,0.31
Pigs,Pregnant_sows,Solid,0.24,0,0.29,0.45,0.31
Pigs,Non_pregnant_sows,Slurry,0.35,0,0.11,0.29,0.31
Pigs,Non_pregnant_sows,Solid,0.24,0,0.29,0.45,0.31
Pigs,Other_swine,Slurry,0.27,0.53,0.11,0.4,0.31
Pigs,Other_swine,Solid,0.23,0.53,0.29,0.45,0.31
Pigs,Pigs_50,Slurry,0.27,0.53,0.11,0.4,0.31
Pigs,Pigs_50,Solid,0.23,0.53,0.29,0.45,0.31
Pigs,Pigs_20,Slurry,0.27,0.53,0.11,0.4,0.31
Pigs,Pigs_20,Solid,0.23,0.53,0.29,0.45,0.31
Poultry,Broilers,Solid,0.21,0,0.3,0.38,0.09
Poultry,Ducks,Slurry,0.41,0,0.14,0.69,0.09
Poultry,Ducks,Solid,0.24,0,0.24,0.54,0.09
Poultry,Geese,Slurry,0.41,0,0.14,0.69,0.09
Poultry,Geese,Solid,0.57,0,0.16,0.45,0.09
Poultry,Laying_hens,Solid,0.2,0,0.08,0.45,0.09
Poultry,Laying_hens,Slurry,0.41,0,0.14,0.69,0.09
Poultry,Turkeys,Solid,0.35,0,0.24,0.54,0.09
Poultry,Rep_hens,Solid,0.2,0,0.08,0.45,0.09
Poultry,Rep_hens,Slurry,0.41,0,0.14,0.69,0.09
