"id","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,11709,12732,10212,11306,11180,10083,9503,9533,9241,7809,9411,8104,9205,9191,9140
2,97450,104857,94890,95978,97808,99784,102148,109284,104738,103440,105157,114313,126135,121195,122964
3,947,933,854,988,794,886,748,960,225,408,1283,1024,1095,1043,986
4,10945,8676,7780,6954,7720,8632,7764,7216,4734,4929,5491,5063,4896,4132,4244
5,0,0,0,0,0,0,0,0,0,0,0,0,0,368,368
