Main_animals,Animals,AFC,Unit,Source
Bovine,Male_calf_2,0,yrs,APA
Bovine,Male_calf_1-2,0,yrs,APA
Bovine,Non_dairy,2.3,yrs,APA
Bovine,Other_calf,0,yrs,APA
Bovine,Beef_calf,2.3,yrs,APA
Bovine,Dairy_cows,2.3,yrs,APA
Bovine,Female_calf_2,2.3,yrs,APA
Bovine,Female_calf_1-2,0,yrs,APA
Bovine,Female_calf-1,0,yrs,APA
Equides,Horses,,yrs,
Equides,Other_equidae,,yrs,
Goats,Goats,0,,
Goats,Doeling,1.3,yrs,GLEAMS
Goats,Buck,0,,
Sheep,Ewes_dairy,0,,
Sheep,Ewes_other,1.7,yrs,GLEAMS
Sheep,Ram,0,,
Rabbits,Rabbits,,yrs,
Pigs,Pregnant_sows,,yrs,
Pigs,Other_swine,,yrs,
Pigs,Pigs_50,,yrs,
Pigs,Pigs_20,,yrs,
Pigs,Non_pregnant_sows,,yrs,
Poultry,Broilers,,yrs,
Poultry,Ducks,,yrs,
Poultry,Geese,,yrs,
Poultry,Rep_hens,,yrs,
Poultry,Turkeys,,yrs,
Poultry,Laying_hens,,yrs,
