Param_id,Main_crop,Crop,Crop_id,other_params
"""0004361""",Cereals,Wheat,11,Muni
"""0004361""",Cereals,Rye,12,Muni
"""0004361""",Cereals,Oat,14,Muni
"""0004361""",Cereals,Barley,13,Muni
"""0004361""",Cereals,Triticale,15,Muni
"""0004361""",Cereals,Maize,16,Muni
"""0004361""",Cereals,Rice,17,Muni
"""0004361""",Pulses,Beans,22,Muni
"""0004361""",Pulses,Chickpea,23,Muni
"""0004361""",Pulses,Other_dried_pulses,29,Muni
"""0004361""",Potato,Potato,5,Muni
"""0004361""",Industry_crops,Other_industry,79,Muni
"""0004361""",Industry_crops,Sunflower,71,Muni
"""0004972""",Fresh_fruits,Pear,12,Def
"""0004972""",Fresh_fruits,Apple,11,Def
"""0004972""",Fresh_fruits,Peach,13,Def
"""0004972""",Fresh_fruits,Cherry,13,Def
"""0004972""",Fresh_fruits,other_fresh,19,Def
"""0004972""",Citrus,Orange,21,Def
"""0004972""",Citrus,Tangerine,22,Def
"""0004972""",Citrus,Lemon,23,Def
"""0004972""",Dried_nuts,Almond,51,Def
"""0004972""",Dried_nuts,Nuuts,53,Def
"""0004972""",Dried_nuts,Chestnut,52,Def
"""0004972""",Olive_grove,Olive_grove,6,Def
"""0004972""",Vineyard,Vineyard,7,Def
"""0004361""",Forage,forage_roots,41,Muni
"""0004361""",Forage,Annual_mixtures,42,Muni
"""0004361""",Forage,forage_sorghum,43,Muni
"""0004361""",Forage,forage_oat,44,Muni
"""0004361""",Forage,forage_maize,45,Muni
"""0004361""",Forage,other_forage,49,Muni
"""0004361""",Horticulture,Horticulture_intensive,82,Muni
"""0004361""",Horticulture,Horticulture_extensive,81,Muni
"""0004361""",Pastures,Intensive_pasture,3,Muni
"""0004337""",Pastures,Extensive_pastures,T,Def
