Main_animals,Animals,X_store
Bovine,Male_calf_2,0.8
Bovine,Male_calf_1-2,0.8
Bovine,Non_dairy,0.8
Bovine,Other_calf,0.8
Bovine,Beef_calf,0.8
Bovine,Dairy_cows,0.8
Bovine,Female_calf_2,0.8
Bovine,Female_calf_1-2,0.8
Bovine,Female_calf-1,0.8
Equides,Horses,0.7
Equides,Other_equidae,0.7
Goats,Goats,0.7
Sheep,Ewes,0.8
Rabbits,Rabbits,0.8
Pigs,Pregnant_sows,0.7
Pigs,Other_swine,0.7
Pigs,Pigs_50,0.7
Pigs,Pigs_20,0.7
Pigs,Non_pregnant_sows,0.7
Poultry,Broilers,0.7
Poultry,Ducks,0.7
Poultry,Geese,0.7
Poultry,Laying_hens,0.7
Poultry,Turkeys,0.7
Poultry,Rep_hens,0.7
