Main_animals,Animals,X_store
Bovine,Male_calf_2,0
Bovine,Male_calf_1-2,0
Bovine,Non_dairy,0
Bovine,Other_calf,0
Bovine,Beef_calf,0
Bovine,Dairy_cows,0.5
Bovine,Female_calf_2,0
Bovine,Female_calf_1-2,0
Bovine,Female_calf-1,0
Equides,Horses,0
Equides,Other_equidae,0
Goats,Goats,0
Sheep,Ewes,0
Rabbits,Rabbits,0
Pigs,Pregnant_sows,0.5
Pigs,Other_swine,0.5
Pigs,Pigs_50,0.5
Pigs,Pigs_20,0.5
Pigs,Non_pregnant_sows,0.5
Poultry,Broilers,0
Poultry,Ducks,0.5
Poultry,Geese,0.5
Poultry,Laying_hens,0
Poultry,Turkeys,0
Poultry,Rep_hens,0
