Roughage,FRAC,Source,
Fresh_grass,0.15,GLEAMS,
     Hay,0.2,GLEAMS,
forage_maize,0.25,GLEAMS,
Annual_mixtures,0.05,GLEAMS,
forage_sorghum,0.05,,
crop_residues,x,GLEAMS,Depending on concentrate
