Admin_id,Admin_name,FRAC_dam,FRAC_river,FRAC_groundwater
1,EDM,6.36,21.66,71.98
2,ToM,8.34,21.26,70.4
3,BL,3.66,15.75,80.59
4,BI,15.59,14.04,70.37
5,RO,5.79,12.81,81.4
6,A,34.1,5.54,60.36
7,Alg,20.63,1.92,77.45
