Product,Crop,FRAC_diet
byproduct_soy,,0.25
Maize,,0.24
Rice,,0.2
cassava_pellets,,0.15
fishmeal,,0.05
byproduct_grain,,0.05
soy,,0.04
synthetic,,0.02
