Product,Crop,FRAC_diet
res_sugarcane,,0.2283
Maize,,0.1865
Rice,,0.1541
byproduct_soy,,0.125
cassava_pellets,,0.075
byproduct_grain,,0.0667
fishmeal,,0.025
byproduct_cottonseed,,0.0221
soy,,0.02
Wheat,,0.03
Barley,,0.03
Res_pulses,,0.02
synthetic,,0.01
pulses,,0.0073
