Product,Crop,FRAC_diet
silage_maize,forage_maize,0.28
fresh_grass,,0.162
silage_grass,,0.162
grains,,0.12
maize,,0.06
byproduct_rape,,0.039
byproduct_soy,,0.039
Maize_gluten,,0.036
Res_wheat,,0.03
byproduct_grain,,0.026
mixture,Annual_mixtures,0.036
byproduct_beet,,0.01
