"Muni_ID","ID","Muni","X1989","X1999","X2009"
1601,"1111601","Arcos de Valdevez",164,109.5,39.7
1602,"1111602","Caminha",60.4,30.1,8.9
1603,"1111603","Melgaço",267.6,76.6,12.9
1604,"1111604","Monção",190.7,94,26.8
1605,"1111605","Paredes de Coura",119.3,83.9,31.3
1606,"1111606","Ponte da Barca",79.3,66.6,24
1607,"1111607","Ponte de Lima",287.2,153.3,72.1
1608,"1111608","Valença",87.1,49.3,11.2
1609,"1111609","Viana do Castelo",515.6,178.8,67.1
1610,"1111610","Vila Nova de Cerveira",73.8,29.2,5.6
301,"1120301","Amares",84,52.9,2.2
302,"1120302","Barcelos",1006.1,298.3,47.5
303,"1120303","Braga",368.9,147.8,29.1
306,"1120306","Esposende",572.9,189.7,24.6
310,"1120310","Terras de Bouro",71.4,40.1,3.4
313,"1120313","Vila Verde",287.2,128.6,46.4
307,"1130307","Fafe",353.2,246.3,39.7
308,"1130308","Guimarães",670.2,247.2,29.6
309,"1130309","Póvoa de Lanhoso",184.4,62,8.4
1314,"1131314","Santo Tirso",464.6,122.2,42.5
1318,"1131318","Trofa",0,114.9,18.4
311,"1130311","Vieira do Minho",198.6,96.7,15.1
312,"1130312","Vila Nova de Famalicão",543.1,156.9,18.4
314,"1130314","Vizela",0,36.5,0.6
107,"1140107","Espinho",19.6,2.7,1.7
1304,"1141304","Gondomar",328.8,138.7,60.9
1306,"1141306","Maia",362.6,165.1,61.5
1308,"1141308","Matosinhos",212.7,89.4,22.4
1312,"1141312","Porto",0,0,0.6
1313,"1141313","Póvoa de Varzim",294.3,75.7,15.6
1315,"1141315","Valongo",149.1,60.2,30.2
1316,"1141316","Vila do Conde",617.6,238.1,34.6
1317,"1141317","Vila Nova de Gaia",285.7,79.4,14
1301,"1151301","Amarante",763.6,214.4,17.9
1302,"1151302","Baião",453.6,236.3,6.7
304,"1150304","Cabeceiras de Basto",337.5,156.9,16.2
106,"1150106","Castelo de Paiva",178.2,79.4,3.9
305,"1150305","Celorico de Basto",278.6,203.4,9.5
1804,"1151804","Cinfães",407.3,183.4,21.8
1303,"1151303","Felgueiras",339,164.2,24
1305,"1151305","Lousada",280.2,127.7,14
1307,"1151307","Marco de Canaveses",354.7,172.4,7.8
1705,"1151705","Mondim de Basto",62,46.5,0.6
1309,"1151309","Paços de Ferreira",127.9,49.3,14.5
1310,"1151310","Paredes",484.2,204.3,53.6
1311,"1151311","Penafiel",550.1,281,24
1813,"1151813","Resende",503.1,188.8,33
1709,"1151709","Ribeira de Pena",316.3,106.7,2.8
104,"1160104","Arouca",196.2,125.9,10.6
113,"1160113","Oliveira de Azeméis",197,78.5,2.2
109,"1160109","Santa Maria da Feira",238.6,105.8,21.8
116,"1160116","São João da Madeira",3.9,0,0
119,"1160119","Vale de Cambra",142.8,90.3,0
1701,"1171701","Alijó",302.9,133.2,11.7
1801,"1171801","Armamar",423.1,109.1,33.8
403,"1170403","Carrazeda de Ansiães",336.9,155.4,99
404,"1170404","Freixo de Espada à Cinta",90.4,6.9,9.2
1805,"1171805","Lamego",463.2,82.4,35.3
1704,"1171704","Mesão Frio",7.2,0,0
1807,"1171807","Moimenta da Beira",881.2,345.2,86
1812,"1171812","Penedono",710.7,184.6,41.5
1708,"1171708","Peso da Régua",42.1,5.2,2.3
1710,"1171710","Sabrosa",162.3,55,17.7
1711,"1171711","Santa Marta de Penaguião",29.8,9.4,0
1815,"1171815","São João da Pesqueira",204.4,71.3,24.6
1818,"1171818","Sernancelhe",973.7,447.5,126.7
1819,"1171819","Tabuaço",481.7,179.5,84.4
1820,"1171820","Tarouca",260.9,77.3,24.6
409,"1170409","Torre de Moncorvo",137.6,36.1,30.7
410,"1170410","Vila Flor",335.8,126.2,10
914,"1170914","Vila Nova de Foz Côa",1,1.7,1.5
1714,"1171714","Vila Real",1085.6,328.9,135.1
401,"1180401","Alfândega da Fé",92.4,29.2,2.3
1702,"1181702","Boticas",1230.4,473.2,207.3
402,"1180402","Bragança",2264.7,904.3,233.4
1703,"1181703","Chaves",4919.6,2531.8,964.1
405,"1180405","Macedo de Cavaleiros",1019.9,341.8,46.1
406,"1180406","Miranda do Douro",426.2,164,91.3
407,"1180407","Mirandela",418,185.5,50.7
408,"1180408","Mogadouro",471.4,342.7,51.4
1706,"1181706","Montalegre",2122.9,1036.6,472.8
1707,"1181707","Murça",307.1,131.4,39.9
1712,"1181712","Valpaços",3303,1297.7,375.4
1713,"1181713","Vila Pouca de Aguiar",1073.3,584,223.4
