"id","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,1000,1000,1000,1000,1000,0,333,667,1000,1000
2,42000,42000,42000,40000,40000,40000,39000,35000,37000,34000,32000,29000,27000,24000,22000,21000,20000,18000,16000,15000,15000,13000,11000,12000,11000,10000,8000,7333,6667,6000,6000
3,26000,26000,26000,25000,25000,25000,25000,22000,17000,15000,13000,12000,11000,10000,9000,7000,4000,4000,4000,3000,3000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4,14000,14000,14000,14000,14000,14000,14000,12000,15000,15000,15000,14000,14000,13000,12000,10000,9000,7000,6000,6000,5000,4000,4000,4000,4000,3000,3000,2667,2333,2000,2000
5,11000,11000,11000,10000,10000,10000,10000,9000,7000,6000,5000,5000,4000,3000,2000,2000,2000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0
6,12000,12000,12000,11000,12000,11000,11000,10000,10000,8000,8000,7000,6000,5000,4000,4000,4000,3000,3000,2000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000
7,10000,10000,10000,9000,9000,9000,9000,8000,8000,7000,6000,6000,6000,6000,6000,4000,3000,3000,3000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
