"Muni_ID","ID","Muni","1989","1999","2009"
1601,"1111601","Arcos de Valdevez","806","800","480"
1602,"1111602","Caminha","143","82","50"
1603,"1111603","Melgaço","433","496","558"
1604,"1111604","Monção","993","1084","1269"
1605,"1111605","Paredes de Coura","144","64","26"
1606,"1111606","Ponte da Barca","564","360","308"
1607,"1111607","Ponte de Lima","1554","1609","1103"
1608,"1111608","Valença","246","204","219"
1609,"1111609","Viana do Castelo","1057","620","385"
1610,"1111610","Vila Nova de Cerveira","103","46","30"
301,"1120301","Amares","659","714","488"
302,"1120302","Barcelos","2480","1534","805"
303,"1120303","Braga","1094","900","456"
306,"1120306","Esposende","323","172","77"
310,"1120310","Terras de Bouro","337","189","96"
313,"1120313","Vila Verde","1071","854","441"
307,"1130307","Fafe","933","686","397"
308,"1130308","Guimarães","2467","1382","889"
309,"1130309","Póvoa de Lanhoso","1171","556","319"
1314,"1131314","Santo Tirso","881","532","397"
1318,"1131318","Trofa","0","92","65"
311,"1130311","Vieira do Minho","519","353","163"
312,"1130312","Vila Nova de Famalicão","1234","1002","696"
314,"1130314","Vizela","0","144","108"
107,"1140107","Espinho","3","0","3"
1304,"1141304","Gondomar","568","285","149"
1306,"1141306","Maia","155","94","55"
1308,"1141308","Matosinhos","37","15","5"
1312,"1141312","Porto","0","0","1"
1313,"1141313","Póvoa de Varzim","196","74","39"
1315,"1141315","Valongo","211","129","104"
1316,"1141316","Vila do Conde","266","105","54"
1317,"1141317","Vila Nova de Gaia","183","45","71"
1301,"1151301","Amarante","2383","2117","1669"
1302,"1151302","Baião","1538","1420","1106"
304,"1150304","Cabeceiras de Basto","1005","795","603"
106,"1150106","Castelo de Paiva","458","289","416"
305,"1150305","Celorico de Basto","1089","1282","1017"
1804,"1151804","Cinfães","923","594","321"
1303,"1151303","Felgueiras","1414","1454","1108"
1305,"1151305","Lousada","964","969","772"
1307,"1151307","Marco de Canaveses","1336","1344","991"
1705,"1151705","Mondim de Basto","522","552","441"
1309,"1151309","Paços de Ferreira","349","167","85"
1310,"1151310","Paredes","913","645","544"
1311,"1151311","Penafiel","1616","1455","1250"
1813,"1151813","Resende","798","798","523"
1709,"1151709","Ribeira de Pena","454","422","217"
104,"1160104","Arouca","614","312","139"
113,"1160113","Oliveira de Azeméis","270","82","33"
109,"1160109","Santa Maria da Feira","142","68","14"
116,"1160116","São João da Madeira","5","0","0"
119,"1160119","Vale de Cambra","301","244","155"
