id,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
1,31000,31000,34000,37000,29000,30000,29000,31000,31000,31000,26000,26000,22000,21000,19000,14000,20000,17000,15000,15000,15000,16000,15000,14000,13000,13000,15000,14000,14000,14000,12000
2,3000,3000,3000,3000,2000,2000,2000,2000,2000,2000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3,18000,17000,17000,20000,18000,18000,17000,18000,18000,18000,13000,13000,10000,9000,8000,6000,5000,8000,8000,7000,7000,7000,7000,6000,6000,5000,6000,5000,5000,5000,5000
4,3000,3000,3000,3000,3000,3000,3000,4000,4000,4000,4000,3000,3000,2000,2000,3000,3000,2000,2000,1000,1000,2000,2000,1000,2000,1000,1000,2000,2000,2000,2000
5,20000,19000,18000,17000,19000,13000,13000,16000,17000,16000,16000,15000,18000,20000,21000,20000,20000,19000,18000,17000,20000,19000,14000,13000,13000,10000,10000,11000,15000,23000,29000
6,10000,23000,15000,21000,27000,21000,19000,19000,18000,18000,16000,18000,15000,15000,21000,22000,22000,24000,24000,19000,18000,18000,15000,11000,12000,10000,10000,11000,14000,27000,20000
7,3000,4000,4000,5000,5000,3000,2000,1000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,0,0,0,0,0,1000,1000,1000,1000,0
