id,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
1,11000,11000,10000,11000,15000,14000,14000,14000,13000,13000,13000,13000,13000,12000,21000,17000,21000,23000,22000,21000,21000,21000,22000,26000,24000,24000,23000,23000,17000,15000,15000
2,3000,3000,3000,2000,3000,4000,3000,3000,3000,4000,3000,3000,5000,9000,5000,3000,3000,2000,5000,7000,7000,6000,5000,5000,4000,4000,4000,4000,3000,3000,2000
3,9000,5000,8000,4000,5000,9000,8000,11000,10000,10000,6000,6000,7000,10000,11000,14000,12000,11000,10000,8000,7000,7000,7000,9000,7000,8000,7000,7000,5000,5000,5000
4,2000,2000,2000,1000,2000,2000,2000,1000,1000,1000,2000,5000,8000,3000,2000,3000,3000,2000,5000,4000,4000,4000,4000,6000,7000,5000,5000,5000,4000,5000,5000
5,5000,6000,6000,8000,8000,5000,10000,10000,10000,9000,9000,12000,16000,14000,10000,9000,10000,12000,11000,13000,12000,12000,13000,14000,12000,12000,11000,11000,9000,10000,14000
6,15000,12000,12000,14000,12000,11000,11000,14000,11000,11000,13000,16000,15000,16000,21000,24000,28000,32000,34000,33000,34000,41000,50000,51000,46000,47000,48000,44000,41000,49000,52000
7,1000,1000,1000,1000,1000,1000,3000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
