id,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017
1,18000,12000,12000,15000,12000,7000,6000,15000,11000,11000,13000,12000,16000,16000,19000,21000,17000,23000,22000,22000,22000,23000,21000,23000,25000,26000,23000,24000,24000,23000,27000
2,26000,16000,18000,21000,18000,11000,9000,13000,13000,15000,21000,19000,18000,16000,17000,15000,11000,15000,16000,15000,16000,15000,14000,14000,14000,14000,13000,13000,13000,13000,15000
3,9000,3000,7000,5000,5000,8000,7000,8000,7000,7000,6000,6000,9000,11000,13000,11000,9000,10000,10000,8000,8000,8000,8000,10000,8000,8000,7000,7000,6000,5000,5000
4,2000,1000,1000,1000,1000,2000,2000,2000,2000,2000,3000,4000,4000,4000,5000,4000,4000,6000,4000,4000,5000,5000,5000,6000,8000,6000,4000,5000,5000,5000,5000
5,4000,1000,3000,2000,4000,5000,9000,8000,8000,9000,7000,6000,10000,15000,13000,9000,5000,9000,21000,19000,20000,19000,18000,28000,22000,17000,15000,15000,11000,11000,12000
6,2000,1000,2000,4000,4000,11000,11000,11000,10000,10000,8000,9000,2000,2000,11000,14000,37000,35000,33000,23000,27000,34000,30000,31000,40000,24000,16000,22000,22000,22000,21000
7,3000,1000,3000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3000,3000,2000,2000,2000,1000,1000,1000,2000,2000,2000,2000,2000,1000,1000
