Main_animals,Animals,FR,Unit,Source
Bovine,Male_calf_2,0,%,APA
Bovine,Male_calf_1-2,0,%,APA
Bovine,Non_dairy,0.67,%,APA
Bovine,Other_calf,0,%,APA
Bovine,Beef_calf,0.67,%,APA
Bovine,Dairy_cows,0.67,%,APA
Bovine,Female_calf_2,0.67,%,APA
Bovine,Female_calf_1-2,0,%,APA
Bovine,Female_calf-1,0,%,APA
Equides,Horses,,%,
Equides,Other_equidae,,%,
Goats,Goats,0.8489,%,APA
Goats,Doeling,0,,
Goats,Buck,0,,
Sheep,Ewes_dairy,0.786,%,APA
Sheep,Ewes_other,0,,
Sheep,Ram,0,,
Rabbits,Rabbits,,%,
Pigs,Pregnant_sows,,%,
Pigs,Other_swine,,%,
Pigs,Pigs_50,,%,
Pigs,Pigs_20,,%,
Pigs,Non_pregnant_sows,,%,
Poultry,Broilers,,%,
Poultry,Ducks,,%,
Poultry,Geese,,%,
Poultry,Rep_hens,,%,
Poultry,Turkeys,,%,
Poultry,Laying_hens,,%,
