recl_from,recl_to,category_id
0,1,NA
1,2,NA
2,3,NA
3,4,1
4,211,1
211,212,1
212,213,NA
213,221,NA
221,222,NA
222,223,1
223,231,NA
231,242,NA
242,244,1
244,313,0
313,321,0
321,335,0
335,999,0
