recl_from,recl_to,category_id,category
0,1,0,urban
1,2,0,forest
2,3,0,wetland
3,4,1,cropland
4,211,1,cropland
211,212,1,cropland
212,213,1,cropland
213,221,NA,cropland
221,222,1,cropland
222,223,1,cropland
223,231,2,grassland
231,242,1,cropland
242,244,2,grassland
244,313,0,forest
313,321,2,grassland
321,335,0,forest
335,999,0,NA
