Admin_name,Admin_id,2009,1999,1989
Continente,1,0.74,0.66,0.58
Norte,101,0.7,0.63,0.55
Minho-Lima,10101,0.72,0.62,0.54
Arcos de Valdevez,101011601,0.73,0.67,0.58
Caminha,101011602,0.68,0.56,0.51
Melgaço,101011603,0.75,0.67,0.59
Monção,101011604,0.75,0.62,0.54
Paredes de Coura,101011605,0.66,0.62,0.57
Ponte da Barca,101011606,0.65,0.6,0.55
Ponte de Lima,101011607,0.71,0.57,0.47
Valença,101011608,0.74,0.63,0.57
Viana do Castelo,101011609,0.7,0.63,0.55
Vila Nova de Cerveira,101011610,0.72,0.61,0.56
Cávado,10102,0.69,0.61,0.52
Amares,101020301,0.7,0.65,0.6
Barcelos,101020302,0.68,0.58,0.49
Braga,101020303,0.74,0.7,0.58
Esposende,101020306,0.63,0.58,0.51
Terras de Bouro,101020310,0.65,0.63,0.59
Vila Verde,101020313,0.7,0.61,0.5
Ave,10103,0.69,0.65,0.56
Fafe,101030307,0.74,0.67,0.59
Guimarães,101030308,0.65,0.64,0.55
Póvoa de Lanhoso,101030309,0.69,0.64,0.56
Santo Tirso,101031314,0.73,0.74,0.56
Trofa,101031318,0.66,0.48,0
Vieira do Minho,101030311,0.62,0.64,0.55
Vila Nova de Famalicão,101030312,0.69,0.65,0.55
Vizela,101030314,0.69,0.59,0
Grande Porto,10104,0.63,0.54,0.5
Espinho,101040107,0.67,0.62,0.64
Gondomar,101041304,0.78,0.68,0.56
Maia,101041306,0.66,0.57,0.54
Matosinhos,101041308,0.66,0.58,0.59
Porto,101041312,0.83,0,0
Póvoa de Varzim,101041313,0.49,0.39,0.34
Valongo,101041315,0.78,0.63,0.48
Vila do Conde,101041316,0.53,0.44,0.45
Vila Nova de Gaia,101041317,0.8,0.75,0.66
Tâmega,10105,0.67,0.6,0.5
Amarante,101051301,0.68,0.59,0.48
Baião,101051302,0.71,0.62,0.52
Cabeceiras de Basto,101050304,0.63,0.61,0.57
Castelo de Paiva,101050106,0.66,0.55,0.44
Celorico de Basto,101050305,0.66,0.59,0.57
Cinfães,101051804,0.62,0.57,0.52
Felgueiras,101051303,0.68,0.6,0.5
Lousada,101051305,0.65,0.61,0.47
Marco de Canaveses,101051307,0.71,0.6,0.46
Mondim de Basto,101051705,0.62,0.56,0.47
Paços de Ferreira,101051309,0.77,0.71,0.57
Paredes,101051310,0.71,0.58,0.44
Penafiel,101051311,0.72,0.57,0.46
Resende,101051813,0.59,0.58,0.51
Ribeira de Pena,101051709,0.59,0.62,0.58
Entre Douro e Vouga,10106,0.68,0.59,0.51
Arouca,101060104,0.61,0.51,0.45
Oliveira de Azeméis,101060113,0.68,0.63,0.53
Santa Maria da Feira,101060109,0.76,0.69,0.56
São João da Madeira,101060116,0,0,0.82
Vale de Cambra,101060119,0.72,0.6,0.53
Douro,10107,0.71,0.64,0.57
Alijó,101071701,0.72,0.63,0.56
Armamar,101071801,0.62,0.63,0.56
Carrazeda de Ansiães,101070403,0.75,0.7,0.64
Freixo de Espada à Cinta,101070404,0.79,0.74,0.62
Lamego,101071805,0.69,0.62,0.56
Mesão Frio,101071704,0.71,0.61,0.59
Moimenta da Beira,101071807,0.68,0.57,0.48
Penedono,101071812,0.67,0.65,0.62
Peso da Régua,101071708,0.67,0.58,0.54
Sabrosa,101071710,0.72,0.63,0.59
Santa Marta de Penaguião,101071711,0.69,0.61,0.56
São João da Pesqueira,101071815,0.64,0.58,0.53
Sernancelhe,101071818,0.67,0.63,0.55
Tabuaço,101071819,0.71,0.65,0.61
Tarouca,101071820,0.69,0.64,0.53
Torre de Moncorvo,101070409,0.76,0.69,0.66
Vila Flor,101070410,0.72,0.63,0.58
Vila Nova de Foz Côa,101070914,0.77,0.7,0.61
Vila Real,101071714,0.71,0.64,0.54
Alto Trás-os-Montes,10108,0.73,0.64,0.6
Alfândega da Fé,101080401,0.74,0.69,0.64
Boticas,101081702,0.69,0.59,0.59
Bragança,101080402,0.74,0.66,0.64
Chaves,101081703,0.72,0.65,0.59
Macedo de Cavaleiros,101080405,0.74,0.67,0.61
Miranda do Douro,101080406,0.75,0.67,0.6
Mirandela,101080407,0.74,0.64,0.62
Mogadouro,101080408,0.68,0.6,0.58
Montalegre,101081706,0.67,0.6,0.59
Murça,101081707,0.67,0.58,0.56
Valpaços,101081712,0.74,0.64,0.58
Vila Pouca de Aguiar,101081713,0.76,0.67,0.54
Vimioso,101080411,0.77,0.69,0.61
Vinhais,101080412,0.73,0.66,0.6
Centro,102,0.77,0.67,0.58
Baixo Vouga,10201,0.75,0.61,0.5
Águeda,102010101,0.8,0.66,0.53
Albergaria-a-Velha,102010102,0.73,0.56,0.44
Anadia,102010103,0.77,0.64,0.54
Aveiro,102010105,0.72,0.6,0.55
Estarreja,102010108,0.68,0.54,0.51
Ílhavo,102010110,0.7,0.69,0.55
Mealhada,102010111,0.78,0.63,0.49
Murtosa,102010112,0.65,0.54,0.48
