Admin_name,Admin_id,2009,1999,1989
Continente,1,709928,1123418,1799736
Norte,101,302117,445403,722991
Minho-Lima,10101,37989,57799,108018
Arcos de Valdevez,101011601,5859,9005,15182
Caminha,101011602,1308,2175,4428
Melgaço,101011603,2729,4130,8210
Monção,101011604,5841,7285,12467
Paredes de Coura,101011605,2730,3732,6819
Ponte da Barca,101011606,2364,3764,6714
Ponte de Lima,101011607,9051,14284,24488
Valença,101011608,2046,2500,4806
Viana do Castelo,101011609,5238,9703,21384
Vila Nova de Cerveira,101011610,823,1221,3520
Cávado,10102,26934,45997,81869
Amares,101020301,2053,3316,6100
Barcelos,101020302,9784,17358,30834
Braga,101020303,3739,6827,11910
Esposende,101020306,3229,5491,11145
Terras de Bouro,101020310,1614,2819,4486
Vila Verde,101020313,6515,10186,17394
Ave,10103,19422,34399,62361
Fafe,101030307,3810,7471,11104
Guimarães,101030308,3935,7185,17368
Póvoa de Lanhoso,101030309,2093,4033,7878
Santo Tirso,101031314,1782,2829,7408
Trofa,101031318,1059,1259,0
Vieira do Minho,101030311,2792,4399,7600
Vila Nova de Famalicão,101030312,3590,6418,11003
Vizela,101030314,361,805,0
Grande Porto,10104,11346,17639,34722
Espinho,101040107,88,106,299
Gondomar,101041304,1652,2751,5497
Maia,101041306,1116,1501,3066
Matosinhos,101041308,740,1100,1910
Porto,101041312,36,0,0
Póvoa de Varzim,101041313,3409,5499,9119
Valongo,101041315,842,1205,2511
Vila do Conde,101041316,2445,3613,6395
Vila Nova de Gaia,101041317,1018,1864,5925
Tâmega,10105,45646,74223,142006
Amarante,101051301,5305,7884,15246
Baião,101051302,3437,6492,10899
Cabeceiras de Basto,101050304,3147,4670,8612
Castelo de Paiva,101050106,2161,2686,4896
Celorico de Basto,101050305,4303,6743,11235
Cinfães,101051804,3842,6037,11503
Felgueiras,101051303,3298,5427,9526
Lousada,101051305,1837,3717,6582
Marco de Canaveses,101051307,3543,6478,13065
Mondim de Basto,101051705,2046,2898,4786
Paços de Ferreira,101051309,1271,2268,5424
Paredes,101051310,2732,4734,11175
Penafiel,101051311,4106,7262,15621
Resende,101051813,2669,4171,8056
Ribeira de Pena,101051709,1949,2756,5380
Entre Douro e Vouga,10106,9251,18386,38327
Arouca,101060104,3464,6203,11725
Oliveira de Azeméis,101060113,1668,3888,8804
Santa Maria da Feira,101060109,1742,3611,8557
São João da Madeira,101060116,25,0,137
Vale de Cambra,101060119,2352,4684,9104
Douro,10107,64410,88583,119029
Alijó,101071701,5647,8353,10844
Armamar,101071801,2850,3734,5907
Carrazeda de Ansiães,101070403,3823,4719,6245
Freixo de Espada à Cinta,101070404,1934,2307,3096
Lamego,101071805,4296,6306,10107
Mesão Frio,101071704,1256,1823,2638
Moimenta da Beira,101071807,2567,3780,6276
Penedono,101071812,1617,1827,2405
Peso da Régua,101071708,3076,4628,5954
Sabrosa,101071710,3191,4135,5115
Santa Marta de Penaguião,101071711,3490,4685,5319
São João da Pesqueira,101071815,4504,6098,8022
Sernancelhe,101071818,2349,3404,4712
Tabuaço,101071819,2582,3421,4513
Tarouca,101071820,1802,2943,4542
Torre de Moncorvo,101070409,4157,5509,6396
Vila Flor,101070410,3984,4896,4911
Vila Nova de Foz Côa,101070914,4101,5485,6538
Vila Real,101071714,7184,10530,15489
Alto Trás-os-Montes,10108,87119,108377,136659
Alfândega da Fé,101080401,3443,3682,4186
Boticas,101081702,3055,3972,5539
Bragança,101080402,9159,11183,13895
Chaves,101081703,10457,15791,21206
Macedo de Cavaleiros,101080405,8109,8932,10118
Miranda do Douro,101080406,4126,4600,5566
Mirandela,101080407,9177,10479,10961
Mogadouro,101080408,6560,7699,9149
Montalegre,101081706,6044,7328,9900
Murça,101081707,3386,4235,5388
Valpaços,101081712,10548,13739,16625
Vila Pouca de Aguiar,101081713,4119,5778,8895
Vimioso,101080411,3480,3754,5141
Vinhais,101080412,5456,7205,10090
Centro,102,267935,466293,759883
Baixo Vouga,10201,25205,51171,93349
Águeda,102010101,2937,7364,13171
Albergaria-a-Velha,102010102,1933,3374,7432
Anadia,102010103,4050,8385,13332
Aveiro,102010105,2109,3934,9333
Estarreja,102010108,2313,3977,7638
Ílhavo,102010110,412,924,3150
Mealhada,102010111,2391,4599,6639
Murtosa,102010112,822,1479,2028
Oliveira do Bairro,102010114,2523,5224,8660
Ovar,102010115,1436,2547,6056
Sever do Vouga,102010117,1356,2487,5259
Vagos,102010118,2923,6877,10651
Baixo Mondego,10202,29904,54065,93679
Cantanhede,102020602,7620,14411,22958
Coimbra,102020603,5281,8789,13853
Condeixa-a-Nova,102020604,2077,3582,6021
Figueira da Foz,102020605,3192,6986,14722
Mira,102020608,1095,3002,6949
Montemor-o-Velho,102020610,5318,8265,13127
Penacova,102020613,1891,2608,5018
Soure,102020615,3430,6422,11031
Pinhal Litoral,10203,15579,35808,62395
Batalha,102031004,1202,2782,4657
Leiria,102031009,5723,13890,23849
Marinha Grande,102031010,237,563,1387
Pombal,102031015,6218,14010,24668
Porto de Mós,102031016,2199,4563,7834
Pinhal Interior Norte,10204,17793,28550,50634
Alvaiázere,102041002,1668,2893,4498
Ansião,102041003,2944,4930,6292
Arganil,102040601,1749,2585,5514
Castanheira de Pêra,102041007,170,194,152
Figueiró dos Vinhos,102041008,652,1345,2584
Góis,102040606,326,789,1424
Lousã,102040607,582,866,2111
Miranda do Corvo,102040609,1360,2490,4390
Oliveira do Hospital,102040611,2774,4495,7504
Pampilhosa da Serra,102040612,879,900,1890
Pedrógão Grande,102041013,772,1115,2554
Penela,102040614,1391,2228,3664
Tábua,102040616,2088,2864,6481
Vila Nova de Poiares,102040617,438,856,1576
Dão-Lafões,10205,45693,76735,125751
Aguiar da Beira,102050901,2054,3170,4415
Carregal do Sal,102051802,1679,2905,5127
Castro Daire,102051803,3389,6748,10818
Mangualde,102051806,3692,5195,9495
Mortágua,102051808,1823,2854,4387
Nelas,102051809,2600,3346,6175
Oliveira de Frades,102051810,2539,4274,5932
Penalva do Castelo,102051811,2237,3844,6002
Santa Comba Dão,102051814,1268,2531,5183
São Pedro do Sul,102051816,3962,5811,9845
Sátão,102051817,3288,5102,7922
Tondela,102051821,5981,10593,16533
Vila Nova de Paiva,102051822,1100,2343,3329
Viseu,102051823,7395,13666,23784
Vouzela,102051824,2686,4353,6804
Pinhal Interior Sul,10206,12644,20313,30870
Mação,102061413,1848,3428,5086
Oleiros,102060506,1991,3907,4007
Proença-a-Nova,102060508,3897,4828,7763
Sertã,102060509,4264,6872,11167
Vila de Rei,102060510,644,1278,2847
Serra da Estrela,10207,8615,12884,17496
Fornos de Algodres,102070905,1588,2135,3476
Gouveia,102070906,3036,3976,5457
Seia,102070912,3991,6773,8563
Beira Interior Norte,10208,28175,44084,63097
Almeida,102080902,1780,3264,5054
Celorico da Beira,102080903,2177,3350,4933
Figueira de Castelo Rodrigo,102080904,3175,4255,5280
Guarda,102080907,4955,8533,14437
Manteigas,102080908,217,488,367
Meda,102080909,3140,4456,5940
Pinhel,102080910,5722,7972,9605
Sabugal,102080911,2878,6284,9905
Trancoso,102080913,4131,5482,7576
Beira Interior Sul,10209,15837,22417,27567
Castelo Branco,102090502,7892,11313,14664
Idanha-a-Nova,102090505,3438,4901,4094
Penamacor,102090507,2387,3655,5892
Vila Velha de Ródão,102090511,2120,2548,2917
Cova da Beira,10210,13199,22222,24689
Belmonte,102100501,1347,2574,2906
Covilhã,102100503,3972,7519,8014
Fundão,102100504,7880,12129,13769
Oeste,10301,32496,63155,109323
Alcobaça,103011001,5231,9627,19231
Alenquer,103011101,3798,8610,12747
Arruda dos Vinhos,103011102,1259,2091,3884
Bombarral,103011005,2070,3380,5171
Cadaval,103011104,2619,4976,7641
Caldas da Rainha,103011006,3388,7304,12358
Lourinhã,103011108,3303,6118,10120
Nazaré,103011011,454,987,1979
Óbidos,103011012,1723,3168,5597
Peniche,103011014,1130,2458,4953
Sobral de Monte Agraço,103011112,968,1977,3137
Torres Vedras,103011113,6553,12459,22505
Médio Tejo,10304,22795,34889,61033
Abrantes,103041401,2929,4884,7762
Alcanena,103041402,1695,2299,3277
Constância,103041408,230,262,428
Entroncamento,103041410,98,108,225
Ferreira do Zêzere,103041411,2279,3686,6574
Ourém,103041421,5304,9546,17816
Sardoal,103041417,943,1842,2112
Tomar,103041418,4426,6322,13048
Torres Novas,103041419,4781,5707,9191
Vila Nova da Barquinha,103041420,110,233,600
Lisboa,103021106,17929,32650,57140
Grande Lisboa,10302,9430,16825,29885
Amadora,103021115,18,49,158
Cascais,103021105,76,158,450
Lisboa,103021106,3,0,0
Loures,103021107,1473,2458,4714
Mafra,103011109,4785,7590,14189
Odivelas,103021116,107,193,0
Oeiras,103021110,17,50,219
Sintra,103021111,1868,4203,5905
Vila Franca de Xira,103021114,1083,2124,4250
Península de Setúbal,10303,8499,15825,27255
Alcochete,103031502,336,829,1508
Almada,103031503,299,389,751
Barreiro,103031504,88,281,574
Moita,103031506,576,997,2021
Montijo,103031507,1390,3254,5091
Palmela,103031508,4616,7536,12108
Seixal,103031510,93,309,638
Sesimbra,103031511,437,919,1600
Setúbal,103031512,664,1311,2964
Alentejo,104,92740,131100,189803
Alentejo Litoral,10401,9637,15147,23503
