Admin_name,Admin_id,2009,1999,1989
Continente,1,276776,378880,546658
Norte,101,110578,137192,191798
Minho-Lima,10101,12700,16695,28600
Arcos de Valdevez,101011601,2175,3075,4541
Caminha,101011602,394,543,1131
Melgaço,101011603,1016,1355,2522
Monção,101011604,2038,2206,3678
Paredes de Coura,101011605,943,1151,1961
Ponte da Barca,101011606,826,1119,1711
Ponte de Lima,101011607,2839,3713,5764
Valença,101011608,723,774,1345
Viana do Castelo,101011609,1465,2382,4929
Vila Nova de Cerveira,101011610,281,377,1018
Cávado,10102,7866,11412,18031
Amares,101020301,677,903,1508
Barcelos,101020302,2730,4011,6520
Braga,101020303,1177,1739,2408
Esposende,101020306,824,1320,2390
Terras de Bouro,101020310,488,750,1122
Vila Verde,101020313,1970,2689,4083
Ave,10103,6196,9112,14504
Fafe,101030307,1304,2021,2807
Guimarães,101030308,1180,1773,3495
Póvoa de Lanhoso,101030309,720,1050,1868
Santo Tirso,101031314,625,813,1817
Trofa,101031318,296,335,0
Vieira do Minho,101030311,820,1193,1950
Vila Nova de Famalicão,101030312,1118,1722,2567
Vizela,101030314,133,205,0
Grande Porto,10104,3528,4585,7948
Espinho,101040107,29,35,74
Gondomar,101041304,553,778,1292
Maia,101041306,332,405,728
Matosinhos,101041308,219,293,469
Porto,101041312,13,0,0
Póvoa de Varzim,101041313,1030,1309,1975
Valongo,101041315,308,304,556
Vila do Conde,101041316,682,871,1431
Vila Nova de Gaia,101041317,362,590,1423
Tâmega,10105,15639,20483,33240
Amarante,101051301,1782,2210,3590
Baião,101051302,1326,1910,2874
Cabeceiras de Basto,101050304,1038,1264,2144
Castelo de Paiva,101050106,662,751,1119
Celorico de Basto,101050305,1438,1779,2705
Cinfães,101051804,1333,1773,3055
Felgueiras,101051303,1136,1467,2173
Lousada,101051305,674,954,1402
Marco de Canaveses,101051307,1156,1783,2775
Mondim de Basto,101051705,668,796,1066
Paços de Ferreira,101051309,414,605,1203
Paredes,101051310,895,1183,2307
Penafiel,101051311,1489,1900,3228
Resende,101051813,986,1235,2176
Ribeira de Pena,101051709,642,873,1423
Entre Douro e Vouga,10106,2937,5075,9018
Arouca,101060104,1115,1683,2549
Oliveira de Azeméis,101060113,547,1066,2210
Santa Maria da Feira,101060109,539,978,1930
São João da Madeira,101060116,0,0,33
Vale de Cambra,101060119,728,1348,2296
Douro,10107,26028,31646,37642
Alijó,101071701,2362,2920,3595
Armamar,101071801,1107,1279,1709
Carrazeda de Ansiães,101070403,1592,1908,2195
Freixo de Espada à Cinta,101070404,896,955,1128
Lamego,101071805,1551,2085,2809
Mesão Frio,101071704,446,606,842
Moimenta da Beira,101071807,1015,1295,1822
Penedono,101071812,627,718,797
Peso da Régua,101071708,1244,1518,1824
Sabrosa,101071710,1136,1443,1659
Santa Marta de Penaguião,101071711,1274,1492,1768
São João da Pesqueira,101071815,1851,2219,2660
Sernancelhe,101071818,949,1154,1380
Tabuaço,101071819,1129,1303,1502
Tarouca,101071820,725,924,1248
