Admin_name,Admin_id,2009,1999
Continente,1,7,11.6
Norte,101,8.1,12.3
Minho-Lima,10101,15.2,23.4
Arcos de Valdevez,101011601,24.3,36.4
Caminha,101011602,7.9,13
Melgaço,101011603,29.3,41.3
Monção,101011604,30.1,36.5
Paredes de Coura,101011605,29.6,39
Ponte da Barca,101011606,18.2,29.5
Ponte de Lima,101011607,20.4,32.6
Valença,101011608,14.3,17.8
Viana do Castelo,101011609,5.7,11.2
Vila Nova de Cerveira,101011610,9.5,13.9
Cávado,10102,6.5,12
Amares,101020301,10.3,18.4
Barcelos,101020302,7.9,14.5
Braga,101020303,2.1,4.3
Esposende,101020306,9,16.9
Terras de Bouro,101020310,21.9,33.4
Vila Verde,101020313,13.2,22.3
Ave,10103,3.7,6.9
Fafe,101030307,7.1,14.5
Guimarães,101030308,2.4,4.6
Póvoa de Lanhoso,101030309,8.6,18
Santo Tirso,101031314,2.6,2.3
Trofa,101031318,2.6,5.7
Vieira do Minho,101030311,20,6.2
Vila Nova de Famalicão,101030312,2.6,17.6
Vizela,101030314,1.5,5.5
Grande Porto,10104,0.9,1.4
Espinho,101040107,0.3,0.3
Gondomar,101041304,0.9,1.7
Maia,101041306,0.8,1.3
Matosinhos,101041308,0.4,0.7
Porto,101041312,0,0
Póvoa de Varzim,101041313,5.1,8.9
Valongo,101041315,0.9,1.4
Vila do Conde,101041316,3.2,5
Vila Nova de Gaia,101041317,0.3,0.7
Tâmega,10105,8.1,13.7
Amarante,101051301,8.6,13.5
Baião,101051302,16.8,29.4
Cabeceiras de Basto,101050304,18,26.7
Castelo de Paiva,101050106,13,15.7
Celorico de Basto,101050305,21.9,33
Cinfães,101051804,19.3,27.1
Felgueiras,101051303,5.6,9.7
Lousada,101051305,3.8,8.6
Marco de Canaveses,101051307,6.4,12.6
Mondim de Basto,101051705,25,33.4
Paços de Ferreira,101051309,2.2,4.4
Paredes,101051310,3.1,5.8
Penafiel,101051311,5.7,10.2
Resende,101051813,23.3,33.6
Ribeira de Pena,101051709,28,36.7
Entre Douro e Vouga,10106,3.2,6.8
Arouca,101060104,14.7,25.9
Oliveira de Azeméis,101060113,2.3,5.6
Santa Maria da Feira,101060109,1.2,2.7
São João da Madeira,101060116,0,0
Vale de Cambra,101060119,9.7,19.1
Douro,10107,31,39.9
Alijó,101071701,42.4,57.9
Armamar,101071801,40.7,49.4
Carrazeda de Ansiães,101070403,57.7,60.6
Freixo de Espada à Cinta,101070404,51,54.9
Lamego,101071805,16.8,22.4
Mesão Frio,101071704,29.4,36.8
Moimenta da Beira,101071807,23.6,34
Penedono,101071812,49.5,53.1
Peso da Régua,101071708,18.4,24.2
Sabrosa,101071710,49.1,58.8
Santa Marta de Penaguião,101071711,43.6,54.1
São João da Pesqueira,101071815,57,69.8
Sernancelhe,101071818,39.3,54.3
Tabuaço,101071819,42.1,49.6
Tarouca,101071820,21.7,35.1
Torre de Moncorvo,101070409,47.9,55.4
Vila Flor,101070410,54.3,61.5
Vila Nova de Foz Côa,101070914,52.5,65
Vila Real,101071714,14.4,21.5
Alto Trás-os-Montes,10108,40.9,48.7
Alfândega da Fé,101080401,65,61.2
Boticas,101081702,53.9,60.5
Bragança,101080402,26.7,32.7
Chaves,101081703,23.8,37
Macedo de Cavaleiros,101080405,48.8,51
Miranda do Douro,101080406,57.6,57.2
Mirandela,101080407,36.2,41.2
Mogadouro,101080408,64.4,68.6
Montalegre,101081706,53.9,56.4
Murça,101081707,56.3,62.4
Valpaços,101081712,57.6,69.6
Vila Pouca de Aguiar,101081713,28,38.2
Vimioso,101080411,72.5,70.1
Vinhais,101080412,59.1,66.6
Centro,102,11.9,21
Baixo Vouga,10201,6.3,13.6
Águeda,102010101,5.9,15.5
Albergaria-a-Velha,102010102,7.3,14.1
Anadia,102010103,12.9,27.3
Aveiro,102010105,2.9,5.5
Estarreja,102010108,8.2,14.4
Ílhavo,102010110,1,2.6
Mealhada,102010111,10.7,22.9
Murtosa,102010112,8.3,15.8
Oliveira do Bairro,102010114,10.6,25.6
Ovar,102010115,2.5,4.7
Sever do Vouga,102010117,10.8,19
Vagos,102010118,12.1,32.3
Baixo Mondego,10202,9.1,16.2
Cantanhede,102020602,19.6,38.7
Coimbra,102020603,4,6
Condeixa-a-Nova,102020604,11.5,24.3
Figueira da Foz,102020605,5.1,11.3
Mira,102020608,8.2,23.5
Montemor-o-Velho,102020610,21.5,32.7
Penacova,102020613,11.2,15.9
Soure,102020615,16.8,31
Pinhal Litoral,10203,5.8,14.7
Batalha,102031004,7.5,19.1
Leiria,102031009,4.4,12
Marinha Grande,102031010,0.6,1.6
Pombal,102031015,10.4,25.7
Porto de Mós,102031016,8.7,19.2
Pinhal Interior Norte,10204,13,20.9
Alvaiázere,102041002,21.9,34.4
Ansião,102041003,21.9,36.4
Arganil,102040601,14,19.2
Castanheira de Pêra,102041007,5.5,5.1
Figueiró dos Vinhos,102041008,9.7,18.3
Góis,102040606,7.5,16.2
Lousã,102040607,3,5.8
Miranda do Corvo,102040609,9.8,19.6
Oliveira do Hospital,102040611,12.9,20.3
Pampilhosa da Serra,102040612,21.1,17.3
Pedrógão Grande,102041013,19.2,25.7
Penela,102040614,22.5,34
Tábua,102040616,17.1,22.9
Vila Nova de Poiares,102040617,5.7,12.5
Dão-Lafões,10205,15.7,27.2
Aguiar da Beira,102050901,33.6,51.2
Carregal do Sal,102051802,15.8,28.2
Castro Daire,102051803,20.7,39.8
Mangualde,102051806,17.5,25
Mortágua,102051808,18.1,27.8
Nelas,102051809,17.6,23.7
