Admin_name,Full_id,Admin_id,2009,1999,1989
Continente,1,1,12.7,9.8,7
Norte,101,101,5.8,4.9,4.1
Minho-Lima,10101,10101,5.7,4.1,3
Arcos de Valdevez,101011601,011601,8.5,5.4,2.1
Aboim das Choças,10101160101,160101,2.8,1.9,1.7
Aguiã,10101160102,160102,2.7,2.8,1
Alvora,10101160103,160103,4.4,2.3,1.9
Ázere,10101160104,160104,2.2,1.9,3.7
Cabana Maior,10101160105,160105,59,32.5,4.8
Cabreiro,10101160106,160106,22,16.3,2.1
Carralcova,10101160107,160107,2.5,2.6,1.4
Cendufe,10101160108,160108,2,1.6,2.3
Couto,10101160109,160109,2,1.5,1.8
Eiras,10101160110,160110,2.1,3,2
Ermelo,10101160111,160111,1.4,21.8,4.7
Extremo,10101160112,160112,5.2,1.7,1.5
Gavieira,10101160113,160113,3.7,7.7,2.4
Giela,10101160114,160114,3.2,2.5,3.1
Gondoriz,10101160115,160115,10.3,5.8,1.4
Grade,10101160116,160116,1.9,2,3.7
Guilhadeses,10101160117,160117,1.7,1.7,2.5
Loureda,10101160118,160118,18.6,10.2,1.8
Jolda (Madalena),10101160119,160119,2,2.3,2.3
Mei,10101160120,160120,6.1,3.1,2.8
Miranda,10101160121,160121,6.2,2.3,2
Monte Redondo,10101160122,160122,2.2,1.7,2.1
Oliveira,10101160123,160123,2.1,1.4,1.8
Paçô,10101160124,160124,3,3.3,2.5
Padroso,10101160125,160125,6.3,2.9,1.8
Parada,10101160126,160126,4,2.9,2.7
Portela,10101160127,160127,3.5,2.8,1.7
Prozelo,10101160128,160128,2.1,1.4,2
Rio Cabrão,10101160129,160129,2,2,2.9
Rio Frio,10101160130,160130,3.7,4,2
Rio de Moinhos,10101160131,160131,3.2,1.6,1.8
Sá,10101160132,160132,3.3,3.7,2.4
Sabadim,10101160133,160133,4.4,2.2,1.7
Arcos de Valdevez (Salvador),10101160134,160134,0,0.8,0.9
Padreiro (Salvador),10101160135,160135,3.5,2.1,1.8
Padreiro (Santa Cristina),10101160136,160136,5.2,4.9,1.8
Távora (Santa Maria),10101160137,160137,1.8,2.2,2.4
Santar,10101160138,160138,2.1,1.8,2.4
São Cosme e São Damião,10101160139,160139,4.7,2,1.8
São Jorge,10101160140,160140,13.9,2.8,2.5
Arcos de Valdevez (São Paio),10101160141,160141,3.2,2.4,2.4
Jolda (São Paio),10101160142,160142,2.2,2,2
Távora (São Vicente),10101160143,160143,2.5,2.4,1.1
Senharei,10101160144,160144,4.2,3.7,1.6
Sistelo,10101160145,160145,37.7,12.3,1.6
Soajo,10101160146,160146,28.7,12.6,2.5
Souto,10101160147,160147,2.2,2.1,2
Tabaçô,10101160148,160148,1.9,1.6,1.6
Vale,10101160149,160149,5.6,3.5,2.5
Vila Fonche,10101160150,160150,1.8,1.8,1.1
Vilela,10101160151,160151,3.5,3.7,2.8
Caminha,101011602,011602,8.2,4.1,3.6
Âncora,10101160201,160201,6.6,2.1,3
Arga de Baixo,10101160202,160202,6.7,16.5,4.1
Arga de Cima,10101160203,160203,51.4,20.5,2.7
Arga de São João,10101160204,160204,2.2,17.8,2.7
Argela,10101160205,160205,14.7,1.9,4.3
Azevedo,10101160206,160206,1.5,1.4,2.4
Caminha (Matriz),10101160207,160207,0,0,2.1
