Main_animals,Animals,P2O5ex,Pex
Bovine,Non_dairy,30,13.092
Bovine,Female_calf-1,7.5,3.273
Bovine,Beef_calf,7.5,3.273
Bovine,Male_calf_1-2,13,5.6732
Bovine,Female_calf_1-2,13,5.6732
Bovine,Male_calf_2,18,7.8552
Bovine,Male_calf_2,20,8.728
Bovine,Female_calf_1-2,20,8.728
Bovine,Other_calf,20,8.728
Goats,Goats,4.5,1.9638
Poultry,Broilers,0.16,0.069824
Poultry,Laying_hens,0.45,0.19638
Poultry,Rep_hens,0.21,0.091644
Poultry,Turkeys,0.7,0.30548
Poultry,Ducks,0.16,0.069824
Poultry,Geese,0.16,0.069824
Equides,Horses,23,10.0372
Equides,Other_equidae,11.5,5.0186
Rabbits,Rabbits,6,2.6184
Swine,Pregnant_sows,3.5,1.5274
Swine,Non_pregnant_sows,2.8,1.22192
Swine,Boars,10,4.364
Swine,Pigs_20,2,0.8728
Swine,Pigs_50,2,0.8728
Swine,Other_swine,2,0.8728
Sheep,Ewes,4.5,1.9638
