"nuts2_ID","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1,7880,7860,8451,8241,7856,7863,7544,7434,8170,8400,8152,7718,7217,6940,3583
2,11694,11699,11744,11383,10642,10908,10783,10802,11631,10997,10206,9866,9852,7618,8342
3,302,302,303,503,401,411,407,603,649,552,1098,1114,1142,1179,1868
4,7576,7579,7608,7338,7376,7560,7473,7970,8581,10003,9522,8926,8354,8670,10384
5,1288,1322,1245,1212,1086,966,1018,1015,1011,987,1039,1016,1278,1164,695
