"nuts2_ID","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1,15269,16262,17059,16707,16081,15698,14979,14398,13699,13366,12847,12062,11720,11666,11195
2,27335,25528,26140,24563,24388,23161,21423,21822,20636,19126,18701,17988,18008,19619,19983
3,4464,4924,4430,3308,2744,2616,2411,2319,2200,1744,1580,2251,2211,2228,2367
4,52493,53388,53838,52956,50594,48437,44455,40575,38802,38316,37660,37333,38090,39788,38452
5,2023,2103,2155,2027,1829,1833,1764,1634,1490,1399,1366,1333,1354,1515,1549
