"nuts2_ID","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017"
1,749043,794114,829376,784486,785255,806287,785274,747184,752717,753551,730824,758041,783958,731077,727066
2,405166,401661,384672,367079,347000,355086,331904,301036,283090,276087,252536,253436,257505,232786,224256
3,83917,91237,91262,88866,81108,91078,85109,80251,79873,78958,69699,83130,81765,74749,77891
4,204352,216109,239304,220535,231263,235966,237992,236011,236636,244570,243394,249317,259732,259907,259397
5,13,8,10,55,41,203,334,348,317,300,276,277,316,469,384
