Main_crop,Crop,Crop_product,Roughage,FRAC,Source
Pastures,Extensive_pasture,Harvest,Fresh_grass,0.5,GLEAMS
Pastures,Extensive_pasture,Residues,Hay,0.2,GLEAMS
Cereals,Cereals,Residues,Cereals,0.1,
Forage,Annual_mixtures,Harvest,Annual_mixtures,0.03,
Forage,forage_maize,Harvest,forage_maize,0.05,
Forage,forage_maize,Residues,forage_maize,0.02,
Forage,forage_maize,Residues,forage_maize,0.03,
Forage,forage_oat,Harvest,forage_oat,0.05,
Forage,other_forage,Harvest,other_forage,0.02,
