main_crop,crop,N_res,source
citrus,lemon,3.5,"Dias, 2002"
citrus,orange,3.5,"Dias, 2002"
citrus,other_citrus,3.5,"Dias, 2002"
citrus,tangerine,3.5,"Dias, 2002"
dried_fruits,almonds,3.6,"Dias, 2002"
dried_fruits,chestnut,3.6,"Dias, 2002"
dried_fruits,locust,3.6,"Dias, 2002"
dried_fruits,nuuts,3.6,"Dias, 2002"
dried_fruits,other_dried_nuts,3.6,"Dias, 2002"
fresh_fruits,apple,4,"APA, 2017; Table 5.45"
fresh_fruits,cherry,4,"APA, 2017; Table 5.45"
fresh_fruits,other_fresh_fruits,4,"APA, 2017; Table 5.45"
fresh_fruits,peach,4,"APA, 2017; Table 5.45"
fresh_fruits,pear,4,"APA, 2017; Table 5.45"
olive_grove,olive_grove,2.9,"Dias, 2002"
vineyard,vineyard,2.7,"Dias, 2002"
