"id","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,1.14,1.15,1.09,1.07,1.06,1.04,1.07,1.1,1.12,1.15,1.16,1.14,1.16,1.23,1.13,1.13,1.1
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1.22,1.21,1.23,1.22,1.23,1.21,1.21,1.23,1.26,1.32,1.27,1.28,NA,1.32,1.33,1.4,1.45
4,1.81,1.91,1.59,1.36,1.32,1.29,1.33,1.31,1.28,1.29,1.23,1.19,1.2,1.2,1.2,1.22,1.2
5,1.26,1.26,1.29,1.29,1.32,1.38,1.42,1.43,1.45,1.45,1.45,1.52,1.46,1.38,1.38,1.36,1.41
6,NA,NA,NA,NA,NA,NA,NA,1.69,1.72,1.71,1.63,1.62,1.76,1.78,1.73,1.71,1.66
7,1.14,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
