Muni_ID,ID,Muni,Volume_regions
1601,1111601,Arcos de Valdevez,Littoral_north
1602,1111602,Caminha,Littoral_north
1603,1111603,Melga�o,Littoral_north
1604,1111604,Mon��o,Littoral_north
1605,1111605,Paredes de Coura,Littoral_north
1606,1111606,Ponte da Barca,Littoral_north
1607,1111607,Ponte de Lima,Littoral_north
1608,1111608,Valen�a,Littoral_north
1609,1111609,Viana do Castelo,Littoral_north
1610,1111610,Vila Nova de Cerveira,Littoral_north
301,1120301,Amares,Littoral_north
302,1120302,Barcelos,Littoral_north
303,1120303,Braga,Littoral_north
306,1120306,Esposende,Littoral_north
310,1120310,Terras de Bouro,Littoral_north
313,1120313,Vila Verde,Littoral_north
307,1130307,Fafe,Littoral_north
308,1130308,Guimar�es,Littoral_north
309,1130309,P�voa de Lanhoso,Littoral_north
311,1130311,Vieira do Minho,Littoral_north
312,1130312,Vila Nova de Famalic�o,Littoral_north
314,1130314,Vizela,Littoral_north
1314,1131314,Santo Tirso,Littoral_north
1318,1131318,Trofa,Littoral_north
107,1140107,Espinho,Littoral_north
1304,1141304,Gondomar,Littoral_north
1306,1141306,Maia,Littoral_north
1308,1141308,Matosinhos,Littoral_north
1312,1141312,Porto,Littoral_north
1313,1141313,P�voa de Varzim,Littoral_north
1315,1141315,Valongo,Littoral_north
1316,1141316,Vila do Conde,Littoral_north
1317,1141317,Vila Nova de Gaia,Littoral_north
106,1150106,Castelo de Paiva,Littoral_north
304,1150304,Cabeceiras de Basto,Interior_north
305,1150305,Celorico de Basto,Littoral_north
1301,1151301,Amarante,Littoral_north
1302,1151302,Bai�o,Littoral_north
1303,1151303,Felgueiras,Littoral_north
1305,1151305,Lousada,Littoral_north
1307,1151307,Marco de Canaveses,Littoral_north
1309,1151309,Pa�os de Ferreira,Littoral_north
1310,1151310,Paredes,Littoral_north
1311,1151311,Penafiel,Littoral_north
1705,1151705,Mondim de Basto,Littoral_north
1709,1151709,Ribeira de Pena,Littoral_north
1804,1151804,Cinf�es,Littoral_north
1813,1151813,Resende,Littoral_north
104,1160104,Arouca,Littoral_north
109,1160109,Santa Maria da Feira,Littoral_north
113,1160113,Oliveira de Azem�is,Littoral_north
116,1160116,S�o Jo�o da Madeira,Littoral_north
119,1160119,Vale de Cambra,Littoral_north
403,1170403,Carrazeda de Ansi�es,Interior_north
404,1170404,Freixo de Espada � Cinta,Interior_north
409,1170409,Torre de Moncorvo,Interior_north
410,1170410,Vila Flor,Interior_north
914,1170914,Vila Nova de Foz C�a,Interior_north
1701,1171701,Alij�,Interior_north
1704,1171704,Mes�o Frio,Interior_north
1708,1171708,Peso da R�gua,Interior_north
1710,1171710,Sabrosa,Interior_north
1711,1171711,Santa Marta de Penagui�o,Interior_north
1714,1171714,Vila Real,Interior_north
1801,1171801,Armamar,Interior_north
1805,1171805,Lamego,Interior_north
1807,1171807,Moimenta da Beira,Interior_north
1812,1171812,Penedono,Interior_north
1815,1171815,S�o Jo�o da Pesqueira,Interior_north
1818,1171818,Sernancelhe,Interior_north
1819,1171819,Tabua�o,Interior_north
1820,1171820,Tarouca,Interior_north
401,1180401,Alf�ndega da F�,Interior_north
402,1180402,Bragan�a,Interior_north
405,1180405,Macedo de Cavaleiros,Interior_north
406,1180406,Miranda do Douro,Interior_north
407,1180407,Mirandela,Interior_north
408,1180408,Mogadouro,Interior_north
411,1180411,Vimioso,Interior_north
412,1180412,Vinhais,Interior_north
1702,1181702,Boticas,Interior_north
1703,1181703,Chaves,Interior_north
1706,1181706,Montalegre,Interior_north
1707,1181707,Mur�a,Interior_north
1712,1181712,Valpa�os,Interior_north
1713,1181713,Vila Pouca de Aguiar,Interior_north
801,1500801,Albufeira,South
802,1500802,Alcoutim,South
803,1500803,Aljezur,South
804,1500804,Castro Marim,South
805,1500805,Faro,South
806,1500806,Lagoa,South
