Main_crop,crop,sprinkler,gun,pivot,microsprink,drip,furrows,other_gravity
Cereals,Wheat,3438,3438,3209,0,3008,2831,7500
Cereals,Rye,2937,2937,2741,0,2570,2419,7500
Cereals,Barley,2937,2937,2741,0,2570,2419,7500
Cereals,Oat,2414,2414,2253,0,2112,1988,7500
Cereals,Maize,10896,10896,10169,0,9534,8973,7500
Cereals,Triticale,3438,3438,3209,0,3008,2831,7500
Cereals,Rice,0,0,0,0,0,0,9300
Citrus,Orange,7036,0,0,6156,6156,5794,7500
Citrus,Lemon,7036,0,0,6156,6156,5794,7500
Citrus,Tangerine,7036,0,0,6156,6156,5794,7500
Dried_nuts,Chestnut,0,0,0,8802,8802,8284,7500
Dried_nuts,Almond,7345,0,0,6427,6427,6049,7500
Dried_nuts,Nuuts,10060,0,0,8802,8802,8284,7500
Forage,forage_oat,2414,2414,2253,0,2112,1988,7500
Forage,forage_maize,10896,10896,10169,0,9534,8973,7500
Forage,forage_sorghum,8830,8830,8241,0,7726,7272,7500
Forage,Annual_mixtures,11180,11180,10435,0,0,9207,7500
Forage,forage_roots,11180,11180,10435,0,0,9207,7500
Forage,other_forage,11180,11180,10435,0,0,9207,7500
Fresh_fruits,Pear,8986,0,0,7862,7862,7400,7500
Fresh_fruits,Peach,9238,0,0,8083,8083,7608,7500
Fresh_fruits,Apple,8986,0,0,7862,7862,7400,7500
Fresh_fruits,Cherry,0,0,0,8083,8083,7608,7500
Fresh_fruits,other_fresh,9238,0,0,8083,8083,7608,7500
Horticulture,Horticulture_intensive,9977,9977,9312,8730,8730,8217,7500
Horticulture,Horticulture_extensive,5824,5093,5436,3827,4564,4796,7500
Industry_crops,Sunflower,6094,6094,5688,0,5332,5019,7500
Industry_crops,Tomato,9995,9995,9328,0,8745,8231,7500
Olive_grove,Olive_grove,3976,0,0,3480,3480,3275,7500
Pastures,Extensive_pasture,11180,11180,10435,0,0,9207,7500
Pastures,Intensive_pasture,11180,11180,10435,0,0,9207,7500
Potato,Potato,6320,6320,5899,5530,5530,5205,7500
Pulses,Chickpea,3145,3145,2936,2752,2752,2590,7500
Pulses,Beans,5788,5788,5402,5065,5065,4767,7500
Pulses,Other_dried_pulses,2629,2629,2453,0,0,2165,7500
Vineyard,Vineyard,5308,0,0,4644,4644,4371,7500
NA,sorghum,8830,8830,8241,0,7726,7272,7500
NA,pea,2629,2629,2453,0,2300,2165,7500
NA,faba bean,3350,3350,3127,0,2931,2759,7500
NA,other_industry,10370,10370,9678,0,9073,8540,7500
NA,beet,10745,10745,10028,0,9400,8849,7500
NA,fig,6689,0,0,5853,5853,5509,7500
NA,other_dried_nuts,0,0,0,8802,8802,8284,7500
NA,plum,9238,0,0,8083,8083,7608,7500
NA,locust,5580,0,0,4882,4882,4595,7500
NA,hazelnut,0,0,0,8802,8802,8284,7500
NA,quince,0,0,0,7862,7862,7400,7500
NA,loquat,0,0,0,8083,8083,7608,7500
NA,pulses,5788,5788,5402,0,5065,4767,7500
NA,other_citrus,7036,0,0,6156,6156,5794,7500
NA,other_fresh_fruits,0,0,0,7332,7332,6901,7500
NA,tangera,7036,0,0,6156,6156,5794,7500
