Main_crop,crop,sprinkler,gun,pivot,microsprink,drip,furrows,other_gravity
Cereals,Wheat,2034,2034,1898,0,1779.487707,1675,7500
Cereals,Rye,1729,1729,1614,0,1513.205848,1424,7500
Cereals,Barley,1729,1729,1614,0,1513.205848,1424,7500
Cereals,Oat,1104,1104,1031,0,966.2017105,909,7500
Cereals,Maize,7822,7822,7301,0,6845,6442,7500
Cereals,Triticale,2034,2034,1898,0,1779.487707,1675,7500
Cereals,Rice,0,0,0,0,0,0,9300
Citrus,Orange,4163,0,0,3642,3642,3428,7500
Citrus,Lemon,4163,0,0,3642,3642,3428,7500
Citrus,Tangerine,4163,0,0,3642,3642,3428,7500
Dried_nuts,Chestnut,0,0,0,5954,5954,5604,7500
Dried_nuts,Almond,4697,0,0,4110,4110,3868,7500
Dried_nuts,Nuuts,6805,0,0,5954,5954,5604,7500
Forage,forage_oat,1104,1104,1031,0,966.2017105,909,7500
Forage,forage_maize,7822,7822,7301,0,6845,6442,7500
Forage,forage_sorghum,5903,5903,5509,0,5164.905947,4861,7500
Forage,Annual_mixtures,7197,7197,6717,0,0,5927,7500
Forage,forage_roots,7197,7197,6717,0,0,5927,7500
Forage,other_forage,7197,7197,6717,0,0,5927,7500
Fresh_fruits,Pear,6079,0,0,5319,5319,5006,7500
Fresh_fruits,Peach,6160,0,0,5390,5390,5073,7500
Fresh_fruits,Apple,6079,0,0,5319,5319,5006,7500
Fresh_fruits,Cherry,0,0,0,5390,5390,5073,7500
Fresh_fruits,other_fresh,6160,0,0,5390,5390,5073,7500
Horticulture,Horticulture_intensive,6705,6705,6258,5867,5867,5521,7500
Horticulture,Horticulture_extensive,3701,3214,3454,2272,2821,3048,7500
Industry_crops,Sunflower,3957,3957,3693,0,3462,3258,7500
Industry_crops,Tomato,7283,7283,6797,0,6372,5997,7500
Olive_grove,Olive_grove,2220,0,0,1942,1942,1828,7500
Pastures,Extensive_pasture,7197,7197,6717,0,0,5927,7500
Pastures,Intensive_pasture,7197,7197,6717,0,0,5927,7500
Potato,Potato,4374,4374,4083,3828,3828,3602,7500
Pulses,Chickpea,1991,1991,1858,1742,1742,1639,7500
Pulses,Beans,4006,4006,3739,3505.563876,3506,4767,7500
Pulses,Other_dried_pulses,1726,1726,1611,0,0,1421,7500
Vineyard,Vineyard,3328,0,0,2912,2912,2741,7500
NA,sorghum,5903,5903,5509,0,5164.905947,4861,7500
NA,pea,1726,1726,1611,0,1510,1421,7500
NA,faba bean,2196,2196,2049,0,1921,1808,7500
NA,other_industry,7353,7353,6862.5,0,6436,6055,7500
NA,beet,7423,7423,6928,0,6500,6113,7500
NA,fig,4192,0,0,3668,3668,3452,7500
NA,other_dried_nuts,0,0,0,5954,5954,5604,7500
NA,plum,6160,0,0,5390,5390,5073,7500
NA,locust,3528,0,0,3087,3087,2905,7500
NA,hazelnut,0,0,0,5954,5954,8284,7500
NA,quince,0,0,0,5319,5319,7400,7500
NA,loquat,0,0,0,5390,5390,7608,7500
NA,pulses,4006,4006,3739,0,3506,3299,7500
NA,other_citrus,4163,0,0,3642,3642,3428,7500
NA,other_fresh_fruits,0,0,0,5208,5208,6901,7500
NA,tangera,4163,0,0,3642,3642,3428,7500
