Main_crop,crop,sprinkler,gun,pivot,microsprink,drip,furrows,other_gravity
Cereals,Wheat,3424,3424,3196,0,2996,7500,5000
Cereals,Rye,3025,3025,2824,0,2647,7500,5000
Cereals,Barley,3025,3025,2824,0,2647,7500,5000
Cereals,Oat,2311,2311,2157,0,2022,7500,5000
Cereals,Maize,9163,9163,8552,0,8018,7500,5000
Cereals,Triticale,3424,3424,3196,0,2996,7500,5000
Cereals,Rice,0,0,0,0,0,0,9300
Citrus,Orange,6023,0,0,5270,5270,7500,5000
Citrus,Lemon,6023,0,0,5270,5270,7500,5000
Citrus,Tangerine,6023,0,0,5270,5270,7500,5000
Dried_nuts,Chestnut,0,0,0,7435,7435,7500,5000
Dried_nuts,Almond,6231,0,0,5452,5452,7500,5000
Dried_nuts,Nuuts,8497,0,0,7435,7435,7500,5000
Forage,forage_oat,2311,2311,2157,0,2022,7500,5000
Forage,forage_maize,9163,9163,8552,0,8018,7500,5000
Forage,forage_sorghum,8174,8174,7629,0,7152,7500,5000
Forage,Annual_mixtures,9855,9855,9198,0,0,7500,5000
Forage,forage_roots,9855,9855,9198,0,0,7500,5000
Forage,other_forage,9855,9855,9198,0,0,7500,5000
Fresh_fruits,Pear,7946,0,0,6952,6952,7500,5000
Fresh_fruits,Peach,8279,0,0,7244,7244,7500,5000
Fresh_fruits,Apple,7946,0,0,6952,6952,7500,5000
Fresh_fruits,Cherry,0,0,0,7244,7244,7500,5000
Fresh_fruits,other_fresh,8279,0,0,7244,7244,7500,5000
Horticulture,Horticulture_intensive,8806,8806,8219,7705,7705,7500,5000
Horticulture,Horticulture_extensive,5197,4486,4850,3255,3981,7500,5000
Industry_crops,Sunflower,5560,5560,5189,0,4865,7500,5000
Industry_crops,Tomato,9009,9009,8409,0,7883,7500,5000
Olive_grove,Olive_grove,3337,0,0,2919,2919,7500,5000
Pastures,Extensive_pasture,9855,9855,9198,0,0,7500,5000
Pastures,Intensive_pasture,9855,9855,9198,0,0,7500,5000
Potato,Potato,5722,5722,5341,5007,5007,7500,5000
Pulses,Chickpea,2887,2887,2695,2526,2526,7500,5000
Pulses,Beans,5255,5255,4904,4904,4598,7500,5000
Pulses,Other_dried_pulses,2623,2623,2448,0,0,7500,5000
Vineyard,Vineyard,4410,0,0,3859,3859,7500,5000
NA,sorghum,8174,8174,7629,0,7152,7500,5000
NA,pea,2623,2623,2448,0,2295,7500,5000
NA,faba bean,3289,3289,3070,0,2878,7500,5000
NA,other_industry,9523,9523,8888,0,8336,7500,5000
NA,beet,10037,10037,9367,0,8788,7500,5000
NA,fig,5681,0,0,4971,4971,7500,5000
NA,other_dried_nuts,0,0,0,7435,7435,7500,5000
NA,plum,8279,0,0,7244,7244,7500,5000
NA,locust,4501,0,0,3938,3938,7500,5000
NA,hazelnut,0,0,0,7435,7435,7500,5000
NA,quince,0,0,0,6952,6952,7500,5000
NA,loquat,0,0,0,7244,7244,7500,5000
NA,pulses,5255,5255,4904,0,4598,7500,5000
NA,other_citrus,6023,0,0,5270,5270,7500,5000
NA,other_fresh_fruits,0,0,0,6391,6391,7500,5000
NA,tangera,6023,0,0,5270,5270,7500,5000
