"id","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,"2","2","3","1","2","3","3","1","2","2","1","1","1","1","1","1","1","1","o","o","o","o","o","o","o","o","1","o","1","o","o"
2,"o","o","1","o","o","o","o","1","o","o","o","o","1","1","1","1","1","1","1","1","1","1","o","o","o","o","o","o","o","o","o"
3,"6","4","7","7","7","6","6","6","5","5","5","5","6","5","5","5","4","4","4","4","3","3","3","2","2","1","2","1","1","1","1"
4,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","o","o","o","o","o","o","o","o","o","o","o","o","o","o","o","o"
5,"10","9","11","11","11","13","14","12","11","10","10","9","6","5","4","3","3","3","3","3","3","2","2","2","1","1","2","1","2","1","2"
6,"6","5","6","6","5","4","4","4","4","4","5","5","5","4","4","4","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2"
7,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","o","o","o","o","o","o","o","o","o","o","o","o","o"
