"id","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,"44","37","39","28","27","37","37","32","32","31","31","30","29","23","18","17","17","15","19","16","15","13","12","12","10","10","8","9","9","8","6"
2,"26","22","23","17","16","21","21","20","20","20","18","18","15","12","13","12","10","11","8","8","7","7","6","5","4","3","2","4","5","3","3"
3,"109","101","114","106","111","136","130","112","113","113","113","109","103","94","95","92","87","82","88","94","93","91","87","86","73","74","66","74","71","74","68"
4,"19","17","19","18","19","23","22","22","22","22","19","19","15","11","7","7","6","7","6","7","8","8","7","7","9","10","7","7","8","8","9"
5,"340","324","360","395","328","303","350","320","310","311","324","324","301","243","213","203","199","206","219","205","222","210","200","198","237","241","255","249","272","266","267"
6,"91","67","99","76","107","101","114","98","98","98","94","99","105","106","104","112","106","116","112","103","109","112","111","111","107","110","114","126","128","115","113"
7,"23","21","30","23","24","19","20","19","19","19","16","16","14","10","6","6","5","6","5","5","6","5","4","4","6","6","6","5","4","3","2"
