"ID","ID_name"
"EF_8_0","PREC_1987"
"EF_8_1","PREC_1988"
"EF_8_2","PREC_1989"
"EF_8_3","PREC_1990"
"EF_8_4","PREC_1991"
"EF_8_5","PREC_1992"
"EF_8_6","PREC_1993"
"EF_8_7","PREC_1994"
"EF_8_8","PREC_1995"
"EF_8_9","PREC_1996"
"EF_8_10","PREC_1997"
"EF_8_11","PREC_1998"
"EF_8_12","PREC_1999"
"EF_8_13","PREC_2000"
"EF_8_14","PREC_2001"
"EF_8_15","PREC_2002"
"EF_8_16","PREC_2003"
"EF_8_17","PREC_2004"
"EF_8_18","PREC_2005"
"EF_8_19","PREC_2006"
"EF_8_20","PREC_2007"
"EF_8_21","PREC_2008"
"EF_8_22","PREC_2009"
"EF_8_23","PREC_2010"
"EF_8_24","PREC_2011"
"EF_8_25","PREC_2012"
"EF_8_26","PREC_2013"
"EF_8_27","PREC_2014"
"EF_8_28","PREC_2015"
"EF_8_29","PREC_2016"
"EF_8_30","PREC_2017"
"EF_9_0","TEMP_MAX_1987"
"EF_9_1","TEMP_MAX_1988"
"EF_9_2","TEMP_MAX_1989"
"EF_9_3","TEMP_MAX_1990"
"EF_9_4","TEMP_MAX_1991"
"EF_9_5","TEMP_MAX_1992"
"EF_9_6","TEMP_MAX_1993"
"EF_9_7","TEMP_MAX_1994"
"EF_9_8","TEMP_MAX_1995"
"EF_9_9","TEMP_MAX_1996"
"EF_9_10","TEMP_MAX_1997"
"EF_9_11","TEMP_MAX_1998"
"EF_9_12","TEMP_MAX_1999"
"EF_9_13","TEMP_MAX_2000"
"EF_9_14","TEMP_MAX_2001"
"EF_9_15","TEMP_MAX_2002"
"EF_9_16","TEMP_MAX_2003"
"EF_9_17","TEMP_MAX_2004"
"EF_9_18","TEMP_MAX_2005"
"EF_9_19","TEMP_MAX_2006"
"EF_9_20","TEMP_MAX_2007"
"EF_9_21","TEMP_MAX_2008"
"EF_9_22","TEMP_MAX_2009"
"EF_9_23","TEMP_MAX_2010"
"EF_9_24","TEMP_MAX_2011"
"EF_9_25","TEMP_MAX_2012"
"EF_9_26","TEMP_MAX_2013"
"EF_9_27","TEMP_MAX_2014"
"EF_9_28","TEMP_MAX_2015"
"EF_9_29","TEMP_MAX_2016"
"EF_9_30","TEMP_MAX_2017"
"EF_10_0","TEMP_MIN_1987"
"EF_10_1","TEMP_MIN_1988"
"EF_10_2","TEMP_MIN_1989"
"EF_10_3","TEMP_MIN_1990"
"EF_10_4","TEMP_MIN_1991"
"EF_10_5","TEMP_MIN_1992"
"EF_10_6","TEMP_MIN_1993"
"EF_10_7","TEMP_MIN_1994"
"EF_10_8","TEMP_MIN_1995"
"EF_10_9","TEMP_MIN_1996"
"EF_10_10","TEMP_MIN_1997"
"EF_10_11","TEMP_MIN_1998"
"EF_10_12","TEMP_MIN_1999"
"EF_10_13","TEMP_MIN_2000"
"EF_10_14","TEMP_MIN_2001"
"EF_10_15","TEMP_MIN_2002"
"EF_10_16","TEMP_MIN_2003"
"EF_10_17","TEMP_MIN_2004"
"EF_10_18","TEMP_MIN_2005"
"EF_10_19","TEMP_MIN_2006"
"EF_10_20","TEMP_MIN_2007"
"EF_10_21","TEMP_MIN_2008"
"EF_10_22","TEMP_MIN_2009"
"EF_10_23","TEMP_MIN_2010"
"EF_10_24","TEMP_MIN_2011"
"EF_10_25","TEMP_MIN_2012"
"EF_10_26","TEMP_MIN_2013"
"EF_10_27","TEMP_MIN_2014"
"EF_10_28","TEMP_MIN_2015"
"EF_10_29","TEMP_MIN_2016"
"EF_10_30","TEMP_MIN_2017"
"EF_11_0","TEMP_AVG_1987"
"EF_11_1","TEMP_AVG_1988"
"EF_11_2","TEMP_AVG_1989"
"EF_11_3","TEMP_AVG_1990"
"EF_11_4","TEMP_AVG_1991"
"EF_11_5","TEMP_AVG_1992"
"EF_11_6","TEMP_AVG_1993"
"EF_11_7","TEMP_AVG_1994"
"EF_11_8","TEMP_AVG_1995"
"EF_11_9","TEMP_AVG_1996"
"EF_11_10","TEMP_AVG_1997"
"EF_11_11","TEMP_AVG_1998"
"EF_11_12","TEMP_AVG_1999"
"EF_11_13","TEMP_AVG_2000"
"EF_11_14","TEMP_AVG_2001"
"EF_11_15","TEMP_AVG_2002"
"EF_11_16","TEMP_AVG_2003"
"EF_11_17","TEMP_AVG_2004"
"EF_11_18","TEMP_AVG_2005"
"EF_11_19","TEMP_AVG_2006"
"EF_11_20","TEMP_AVG_2007"
"EF_11_21","TEMP_AVG_2008"
"EF_11_22","TEMP_AVG_2009"
"EF_11_23","TEMP_AVG_2010"
"EF_11_24","TEMP_AVG_2011"
"EF_11_25","TEMP_AVG_2012"
"EF_11_26","TEMP_AVG_2013"
"EF_11_27","TEMP_AVG_2014"
"EF_11_28","TEMP_AVG_2015"
"EF_11_29","TEMP_AVG_2016"
"EF_11_30","TEMP_AVG_2017"
