"ID","ID_name","type"
"EF_1_0","Fruit_trees_1987","Dynamic"
"EF_1_1","Fruit_trees_1988","Dynamic"
"EF_1_2","Fruit_trees_1989","Dynamic"
"EF_1_3","Fruit_trees_1990","Dynamic"
"EF_1_4","Fruit_trees_1991","Dynamic"
"EF_1_5","Fruit_trees_1992","Dynamic"
"EF_1_6","Fruit_trees_1993","Dynamic"
"EF_1_7","Fruit_trees_1994","Dynamic"
"EF_1_8","Fruit_trees_1995","Dynamic"
"EF_1_9","Fruit_trees_1996","Dynamic"
"EF_1_10","Fruit_trees_1997","Dynamic"
"EF_1_11","Fruit_trees_1998","Dynamic"
"EF_1_12","Fruit_trees_1999","Dynamic"
"EF_1_13","Fruit_trees_2000","Dynamic"
"EF_1_14","Fruit_trees_2001","Dynamic"
"EF_1_15","Fruit_trees_2002","Dynamic"
"EF_1_16","Fruit_trees_2003","Dynamic"
"EF_1_17","Fruit_trees_2004","Dynamic"
"EF_1_18","Fruit_trees_2005","Dynamic"
"EF_1_19","Fruit_trees_2006","Dynamic"
"EF_1_20","Fruit_trees_2007","Dynamic"
"EF_1_21","Fruit_trees_2008","Dynamic"
"EF_1_22","Fruit_trees_2009","Dynamic"
"EF_1_23","Fruit_trees_2010","Dynamic"
"EF_1_24","Fruit_trees_2011","Dynamic"
"EF_1_25","Fruit_trees_2012","Dynamic"
"EF_1_26","Fruit_trees_2013","Dynamic"
"EF_1_27","Fruit_trees_2014","Dynamic"
"EF_1_28","Fruit_trees_2015","Dynamic"
"EF_1_29","Fruit_trees_2016","Dynamic"
"EF_1_30","Fruit_trees_2017","Dynamic"
"EF_2_0","Olive_groves_1987","Dynamic"
"EF_2_1","Olive_groves_1988","Dynamic"
"EF_2_2","Olive_groves_1989","Dynamic"
"EF_2_3","Olive_groves_1990","Dynamic"
"EF_2_4","Olive_groves_1991","Dynamic"
"EF_2_5","Olive_groves_1992","Dynamic"
"EF_2_6","Olive_groves_1993","Dynamic"
"EF_2_7","Olive_groves_1994","Dynamic"
"EF_2_8","Olive_groves_1995","Dynamic"
"EF_2_9","Olive_groves_1996","Dynamic"
"EF_2_10","Olive_groves_1997","Dynamic"
"EF_2_11","Olive_groves_1998","Dynamic"
"EF_2_12","Olive_groves_1999","Dynamic"
"EF_2_13","Olive_groves_2000","Dynamic"
"EF_2_14","Olive_groves_2001","Dynamic"
"EF_2_15","Olive_groves_2002","Dynamic"
"EF_2_16","Olive_groves_2003","Dynamic"
"EF_2_17","Olive_groves_2004","Dynamic"
"EF_2_18","Olive_groves_2005","Dynamic"
"EF_2_19","Olive_groves_2006","Dynamic"
"EF_2_20","Olive_groves_2007","Dynamic"
"EF_2_21","Olive_groves_2008","Dynamic"
"EF_2_22","Olive_groves_2009","Dynamic"
"EF_2_23","Olive_groves_2010","Dynamic"
"EF_2_24","Olive_groves_2011","Dynamic"
"EF_2_25","Olive_groves_2012","Dynamic"
"EF_2_26","Olive_groves_2013","Dynamic"
"EF_2_27","Olive_groves_2014","Dynamic"
"EF_2_28","Olive_groves_2015","Dynamic"
"EF_2_29","Olive_groves_2016","Dynamic"
"EF_2_30","Olive_groves_2017","Dynamic"
"EF_3_0","Pastures_1987","Dynamic"
"EF_3_1","Pastures_1988","Dynamic"
"EF_3_2","Pastures_1989","Dynamic"
"EF_3_3","Pastures_1990","Dynamic"
"EF_3_4","Pastures_1991","Dynamic"
"EF_3_5","Pastures_1992","Dynamic"
"EF_3_6","Pastures_1993","Dynamic"
"EF_3_7","Pastures_1994","Dynamic"
"EF_3_8","Pastures_1995","Dynamic"
"EF_3_9","Pastures_1996","Dynamic"
"EF_3_10","Pastures_1997","Dynamic"
"EF_3_11","Pastures_1998","Dynamic"
"EF_3_12","Pastures_1999","Dynamic"
"EF_3_13","Pastures_2000","Dynamic"
"EF_3_14","Pastures_2001","Dynamic"
"EF_3_15","Pastures_2002","Dynamic"
"EF_3_16","Pastures_2003","Dynamic"
"EF_3_17","Pastures_2004","Dynamic"
"EF_3_18","Pastures_2005","Dynamic"
"EF_3_19","Pastures_2006","Dynamic"
"EF_3_20","Pastures_2007","Dynamic"
"EF_3_21","Pastures_2008","Dynamic"
"EF_3_22","Pastures_2009","Dynamic"
"EF_3_23","Pastures_2010","Dynamic"
"EF_3_24","Pastures_2011","Dynamic"
"EF_3_25","Pastures_2012","Dynamic"
"EF_3_26","Pastures_2013","Dynamic"
"EF_3_27","Pastures_2014","Dynamic"
"EF_3_28","Pastures_2015","Dynamic"
"EF_3_29","Pastures_2016","Dynamic"
"EF_3_30","Pastures_2017","Dynamic"
"EF_4_0","Permanently_irrigated_1987","Dynamic"
"EF_4_1","Permanently_irrigated_1988","Dynamic"
"EF_4_2","Permanently_irrigated_1989","Dynamic"
"EF_4_3","Permanently_irrigated_1990","Dynamic"
