"ID","ID_name"
"EF_1_0","Fruit_trees_1987"
"EF_1_1","Fruit_trees_1988"
"EF_1_2","Fruit_trees_1989"
"EF_1_3","Fruit_trees_1990"
"EF_1_4","Fruit_trees_1991"
"EF_1_5","Fruit_trees_1992"
"EF_1_6","Fruit_trees_1993"
"EF_1_7","Fruit_trees_1994"
"EF_1_8","Fruit_trees_1995"
"EF_1_9","Fruit_trees_1996"
"EF_1_10","Fruit_trees_1997"
"EF_1_11","Fruit_trees_1998"
"EF_1_12","Fruit_trees_1999"
"EF_1_13","Fruit_trees_2000"
"EF_1_14","Fruit_trees_2001"
"EF_1_15","Fruit_trees_2002"
"EF_1_16","Fruit_trees_2003"
"EF_1_17","Fruit_trees_2004"
"EF_1_18","Fruit_trees_2005"
"EF_1_19","Fruit_trees_2006"
"EF_1_20","Fruit_trees_2007"
"EF_1_21","Fruit_trees_2008"
"EF_1_22","Fruit_trees_2009"
"EF_1_23","Fruit_trees_2010"
"EF_1_24","Fruit_trees_2011"
"EF_1_25","Fruit_trees_2012"
"EF_1_26","Fruit_trees_2013"
"EF_1_27","Fruit_trees_2014"
"EF_1_28","Fruit_trees_2015"
"EF_1_29","Fruit_trees_2016"
"EF_1_30","Fruit_trees_2017"
"EF_2_0","Olive_groves_1987"
"EF_2_1","Olive_groves_1988"
"EF_2_2","Olive_groves_1989"
"EF_2_3","Olive_groves_1990"
"EF_2_4","Olive_groves_1991"
"EF_2_5","Olive_groves_1992"
"EF_2_6","Olive_groves_1993"
"EF_2_7","Olive_groves_1994"
"EF_2_8","Olive_groves_1995"
"EF_2_9","Olive_groves_1996"
"EF_2_10","Olive_groves_1997"
"EF_2_11","Olive_groves_1998"
"EF_2_12","Olive_groves_1999"
"EF_2_13","Olive_groves_2000"
"EF_2_14","Olive_groves_2001"
"EF_2_15","Olive_groves_2002"
"EF_2_16","Olive_groves_2003"
"EF_2_17","Olive_groves_2004"
"EF_2_18","Olive_groves_2005"
"EF_2_19","Olive_groves_2006"
"EF_2_20","Olive_groves_2007"
"EF_2_21","Olive_groves_2008"
"EF_2_22","Olive_groves_2009"
"EF_2_23","Olive_groves_2010"
"EF_2_24","Olive_groves_2011"
"EF_2_25","Olive_groves_2012"
"EF_2_26","Olive_groves_2013"
"EF_2_27","Olive_groves_2014"
"EF_2_28","Olive_groves_2015"
"EF_2_29","Olive_groves_2016"
"EF_2_30","Olive_groves_2017"
"EF_3_0","Pastures_1987"
"EF_3_1","Pastures_1988"
"EF_3_2","Pastures_1989"
"EF_3_3","Pastures_1990"
"EF_3_4","Pastures_1991"
"EF_3_5","Pastures_1992"
"EF_3_6","Pastures_1993"
"EF_3_7","Pastures_1994"
"EF_3_8","Pastures_1995"
"EF_3_9","Pastures_1996"
"EF_3_10","Pastures_1997"
"EF_3_11","Pastures_1998"
"EF_3_12","Pastures_1999"
"EF_3_13","Pastures_2000"
"EF_3_14","Pastures_2001"
"EF_3_15","Pastures_2002"
"EF_3_16","Pastures_2003"
"EF_3_17","Pastures_2004"
"EF_3_18","Pastures_2005"
"EF_3_19","Pastures_2006"
"EF_3_20","Pastures_2007"
"EF_3_21","Pastures_2008"
"EF_3_22","Pastures_2009"
"EF_3_23","Pastures_2010"
"EF_3_24","Pastures_2011"
"EF_3_25","Pastures_2012"
"EF_3_26","Pastures_2013"
"EF_3_27","Pastures_2014"
"EF_3_28","Pastures_2015"
"EF_3_29","Pastures_2016"
"EF_3_30","Pastures_2017"
"EF_4_0","Permanently_irrigated_1987"
"EF_4_1","Permanently_irrigated_1988"
"EF_4_2","Permanently_irrigated_1989"
"EF_4_3","Permanently_irrigated_1990"
"EF_4_4","Permanently_irrigated_1991"
"EF_4_5","Permanently_irrigated_1992"
"EF_4_6","Permanently_irrigated_1993"
"EF_4_7","Permanently_irrigated_1994"
"EF_4_8","Permanently_irrigated_1995"
"EF_4_9","Permanently_irrigated_1996"
"EF_4_10","Permanently_irrigated_1997"
"EF_4_11","Permanently_irrigated_1998"
"EF_4_12","Permanently_irrigated_1999"
"EF_4_13","Permanently_irrigated_2000"
"EF_4_14","Permanently_irrigated_2001"
"EF_4_15","Permanently_irrigated_2002"
"EF_4_16","Permanently_irrigated_2003"
"EF_4_17","Permanently_irrigated_2004"
"EF_4_18","Permanently_irrigated_2005"
"EF_4_19","Permanently_irrigated_2006"
"EF_4_20","Permanently_irrigated_2007"
"EF_4_21","Permanently_irrigated_2008"
"EF_4_22","Permanently_irrigated_2009"
"EF_4_23","Permanently_irrigated_2010"
"EF_4_24","Permanently_irrigated_2011"
"EF_4_25","Permanently_irrigated_2012"
"EF_4_26","Permanently_irrigated_2013"
"EF_4_27","Permanently_irrigated_2014"
"EF_4_28","Permanently_irrigated_2015"
"EF_4_29","Permanently_irrigated_2016"
"EF_4_30","Permanently_irrigated_2017"
"EF_5_0","Rice_1987"
"EF_5_1","Rice_1988"
"EF_5_2","Rice_1989"
"EF_5_3","Rice_1990"
"EF_5_4","Rice_1991"
"EF_5_5","Rice_1992"
"EF_5_6","Rice_1993"
"EF_5_7","Rice_1994"
"EF_5_8","Rice_1995"
"EF_5_9","Rice_1996"
"EF_5_10","Rice_1997"
"EF_5_11","Rice_1998"
"EF_5_12","Rice_1999"
"EF_5_13","Rice_2000"
"EF_5_14","Rice_2001"
"EF_5_15","Rice_2002"
"EF_5_16","Rice_2003"
"EF_5_17","Rice_2004"
"EF_5_18","Rice_2005"
"EF_5_19","Rice_2006"
"EF_5_20","Rice_2007"
"EF_5_21","Rice_2008"
"EF_5_22","Rice_2009"
"EF_5_23","Rice_2010"
"EF_5_24","Rice_2011"
"EF_5_25","Rice_2012"
"EF_5_26","Rice_2013"
"EF_5_27","Rice_2014"
"EF_5_28","Rice_2015"
"EF_5_29","Rice_2016"
"EF_5_30","Rice_2017"
"EF_6_0","Vineyards_1987"
"EF_6_1","Vineyards_1988"
"EF_6_2","Vineyards_1989"
"EF_6_3","Vineyards_1990"
"EF_6_4","Vineyards_1991"
"EF_6_5","Vineyards_1992"
"EF_6_6","Vineyards_1993"
"EF_6_7","Vineyards_1994"
"EF_6_8","Vineyards_1995"
"EF_6_9","Vineyards_1996"
"EF_6_10","Vineyards_1997"
"EF_6_11","Vineyards_1998"
"EF_6_12","Vineyards_1999"
"EF_6_13","Vineyards_2000"
"EF_6_14","Vineyards_2001"
"EF_6_15","Vineyards_2002"
"EF_6_16","Vineyards_2003"
"EF_6_17","Vineyards_2004"
"EF_6_18","Vineyards_2005"
"EF_6_19","Vineyards_2006"
"EF_6_20","Vineyards_2007"
"EF_6_21","Vineyards_2008"
"EF_6_22","Vineyards_2009"
"EF_6_23","Vineyards_2010"
"EF_6_24","Vineyards_2011"
"EF_6_25","Vineyards_2012"
"EF_6_26","Vineyards_2013"
"EF_6_27","Vineyards_2014"
"EF_6_28","Vineyards_2015"
"EF_6_29","Vineyards_2016"
"EF_6_30","Vineyards_2017"
"EF_7_0","Non_irrigated_1987"
"EF_7_1","Non_irrigated_1988"
"EF_7_2","Non_irrigated_1989"
"EF_7_3","Non_irrigated_1990"
"EF_7_4","Non_irrigated_1991"
"EF_7_5","Non_irrigated_1992"
"EF_7_6","Non_irrigated_1993"
"EF_7_7","Non_irrigated_1994"
"EF_7_8","Non_irrigated_1995"
"EF_7_9","Non_irrigated_1996"
"EF_7_10","Non_irrigated_1997"
"EF_7_11","Non_irrigated_1998"
"EF_7_12","Non_irrigated_1999"
"EF_7_13","Non_irrigated_2000"
"EF_7_14","Non_irrigated_2001"
"EF_7_15","Non_irrigated_2002"
"EF_7_16","Non_irrigated_2003"
"EF_7_17","Non_irrigated_2004"
"EF_7_18","Non_irrigated_2005"
"EF_7_19","Non_irrigated_2006"
"EF_7_20","Non_irrigated_2007"
"EF_7_21","Non_irrigated_2008"
"EF_7_22","Non_irrigated_2009"
"EF_7_23","Non_irrigated_2010"
"EF_7_24","Non_irrigated_2011"
"EF_7_25","Non_irrigated_2012"
"EF_7_26","Non_irrigated_2013"
"EF_7_27","Non_irrigated_2014"
"EF_7_28","Non_irrigated_2015"
"EF_7_29","Non_irrigated_2016"
"EF_7_30","Non_irrigated_2017"
