"id","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,"1169","1209","1284","1315","1312","1213","1125","1118","1042","1085","1067","983","1006","996","901"
2,"2092","1898","1968","1934","1989","1789","1609","1695","1570","1519","1527","1465","1545","1548","1431"
3,"342","366","334","260","224","202","181","180","167","142","131","126","128","126","131"
4,"4018","3970","4054","4169","4127","3742","3340","3151","2952","3145","3153","3099","3330","3589","3332"
5,"155","156","162","160","149","142","132","127","113","114","113","109","116","129","125"
