stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
03D.05,AFIFE,ÂNCORA,21,139578,533952,41.772057,-8.860985,CCDR-NORTE,VIANA DO CASTELO,VIANA DO CASTELO,AFIFE,RIO DE CABANAS,10.06,1.21,02/11/1998,-,IMPACTO,REATIVADA
26G.53,AFLUENTE DA RIBEIRA DE CAMPILHAS,SADO,-,174279.79,106215.95,37.92228,-8.42562,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,BARRANCO DO MALHAO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
25G.55,AFLUENTE DA RIBEIRA DE GRÂNDOLA,SADO,-,178901.23,130725.61,38.14165556,-8.372575,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,AZINHEIRA DOS BARROS E SÃO MAMEDE DO SÁDÃO,,-,-,01/01/2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
22M.52,AFLUENTE DA RIBEIRA DE LUCEFECIT,GUADIANA,-,261900,186848,38.64688,-7.42214,ARH-ALENTEJO,ÉVORA,ALANDROAL,TERENA (SÃO PEDRO),RIBEIRA DO ALANDROAL,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
23G.52,AFLUENTE DA RIBEIRA DE SANTA CATARINA DE SÍTIMOS,SADO,-,175795,162020,38.42439,-8.41076,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,SANTA SUSANA,RIBEIRA DE ALCÁÇOVAS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
26F.55,AFLUENTE DA RIBEIRA DE SÃO DOMINGOS,SADO,-,162864,109846.85,37.9546,-8.55564,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SÃO DOMINGOS,BARRANCO DE MARTINHANES,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
23F.50,AFLUENTE DA RIBEIRA DE SÃO MARTINHO,SADO,-,157003,163374,38.43653,-8.62562,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),RIBEIRA DE SÃO MARTINHO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
26G.58,AFLUENTE DA RIBEIRA DO ROXO,SADO,-,179292.39,114249.8,37.99479,-8.36884,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ERMIDAS-SADO,BARRANCO DO VALE DO PEREIRO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
24H.53,AFLUENTE DA RIBEIRA VALE DA URSA,SADO,-,190762.5,150176.32,38.31864,-8.23873,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,BARRANCO DE S. SOEIRO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
23H.50,AFLUENTE DA RIBEIRA VALE DA URSA - JUSANTE,SADO,-,192224,154558,38.35809,-8.22201,ARH-ALENTEJO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,RIBEIRA DA URSA,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
24E.53,AFLUENTE DA VALA REAL  IV,,-,150813,146743,38.28641,-8.69529,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,GRÂNDOLA,BARRANCO DE COELHEIROS,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
24E.51,AFLUENTE DA VALA REAL I,SADO,-,144091,150449,38.32236,-8.7626,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,COMPORTA,BARRANCO DA CARREGUEIRA,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
24F.52,AFLUENTE DA VALA REAL III,,-,155029,146046,38.28036,-8.64706,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,GRÂNDOLA,RIBEIRA DO BREJO DO MOURO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
23F.53,AFLUENTE DO RIBEIRO DE ÁGUA COVA,SADO,-,163556.22,155527.72,38.36459444,-8.548883333,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),,-,-,01/01/2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
23K.56,AFLUENTE DO RIO DEGEBE,GUADIANA,-,240075,154806,38.35466,-7.67719,ARH-ALENTEJO,ÉVORA,PORTEL,MONTE DO TRIGO,RIBEIRA DA HORTA VELHA,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
23E.50,AFLUENTE DO RIO SADO I,SADO,-,148847,169247,38.48411,-8.71898,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),RIO SADO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
23E.51,AFLUENTE DO RIO SADO II,SADO,-,148847,169247,38.464,-8.7164,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),RIO SADO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
23E.52,AFLUENTE DO RIO SADO III,SADO,-,145657,158701,38.39384,-8.75514,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,COMPORTA,BARRANCO DOS PINHEIROS BRAVOS,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
23E.53,AFLUENTE DO RIO SADO IV,SADO,-,149387,159931,38.404852,-8.712815,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,COMPORTA,BARRANCO DA CARRASQUEIRA,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
24H.55,AFLUENTE DO RIO SADO IX,SADO,-,183024.93,138498.15,38.21332,-8.32693,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,BARRANCO DO BREJO LARGO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
23F.51,AFLUENTE DO RIO SADO V,SADO,-,156474.62,157454.94,38.38163889,-8.630025,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),,-,-,01/01/2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
23F.52,AFLUENTE DO RIO SADO VI,SADO,-,158533.75,159165.98,38.39715,-8.606561111,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),,-,-,01/01/2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
24G.54,AFLUENTE DO RIO SADO VII,SADO,-,173855.6,145425.29,38.27394722,-8.430669444,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,,-,-,01/01/2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
24G.52,AFLUENTE DO RIO SADO VIII,SADO,-,178527.46,142807.97,38.25206,-8.37841,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,TORRÃO,,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
