stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
24M.17S,ALQUEVA - DEGEBE - CCHA (S),GUADIANA,-,256750,138634,38.21293,-7.48511,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,05/03/2003,-,EDIA,ATIVA
24M.18,ALQUEVA - DESCARGA - CCHA,GUADIANA,-,256045,136480,38.19357,-7.49333,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,07/03/2003,-,EDIA,ATIVA
21N.01F,ALQUEVA - JUROMENHA (F),GUADIANA,138,278176,197066,38.73709,-7.23398,INAG/LABELEC,ÉVORA,ALANDROAL,JUROMENHA (NOSSA SENHORA DO LORETO),RIO GUADIANA,50560.13,238.47,08/04/2003,07/12/2004,FLUXO-TFRONT-LE(PISC-CIP; CAPTAÇÃO),EXTINTA
21N.01S,ALQUEVA - JUROMENHA (S),GUADIANA,138,278176,197066,38.73709,-7.23398,INAG/LABELEC,ÉVORA,ALANDROAL,JUROMENHA (NOSSA SENHORA DO LORETO),RIO GUADIANA,50560.13,238.47,14/01/2003,07/12/2004,FLUXO-TFRONT-LE(PISC-CIP; CAPTAÇÃO),EXTINTA
24M.16C,ALQUEVA - JUSANTE - CCHA (C),GUADIANA,-,256441,134014,38.17133,-7.489,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),,-,-,01/01/2006,-,EDIA,ATIVA
24M.16F,ALQUEVA - JUSANTE - CCHA (F),GUADIANA,-,256441,134014,38.17133,-7.489,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,08/02/2006,-,EDIA,ATIVA
24M.16M,ALQUEVA - JUSANTE - CCHA (M),GUADIANA,-,-,-,38.17133,-7.489,-,-,-,-,,-,-,-,-,EDIA,-
24M.16P,ALQUEVA - JUSANTE - CCHA (P),GUADIANA,-,-,-,38.17133,-7.489,-,-,-,-,,-,-,-,-,EDIA,-
24M.16S,ALQUEVA - JUSANTE - CCHA (S),GUADIANA,-,256441,134014,38.17133,-7.489,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,07/05/2003,-,EDIA,ATIVA
23M.03F,ALQUEVA - MOURÃO (F),GUADIANA,112,264942,158514,38.39146,-7.38975,INAG/LABELEC,ÉVORA,REGUENGOS DE MONSARAZ,MONSARAZ,RIO GUADIANA,131,189.67,15/01/2003,10/12/2004,Fluxo,EXTINTA
23M.03M,ALQUEVA - MOURÃO (M),GUADIANA,112,264942,158514,38.39146,-7.38975,INAG/LABELEC,ÉVORA,REGUENGOS DE MONSARAZ,MONSARAZ,RIO GUADIANA,131,189.67,15/01/2003,10/12/2004,Fluxo,EXTINTA
23M.03S,ALQUEVA - MOURÃO (S),GUADIANA,112,264942,158514,38.39146,-7.38975,INAG/LABELEC,ÉVORA,REGUENGOS DE MONSARAZ,MONSARAZ,RIO GUADIANA,131,189.67,15/01/2003,10/12/2004,Fluxo,EXTINTA
23M.15C,ALQUEVA - MOURÃO - CCHA (C),GUADIANA,-,265091,158936,38.39525,-7.38801,EDIA,ÉVORA,MOURÃO,MOURÃO,,-,-,19/11/2009,-,EDIA,ATIVA
23M.15F,ALQUEVA - MOURÃO - CCHA (F),GUADIANA,-,265091,158936,38.39525,-7.38801,EDIA,ÉVORA,MOURÃO,MOURÃO,RIO GUADIANA,-,-,06/03/2003,-,EDIA,ATIVA
23M.15M,ALQUEVA - MOURÃO - CCHA (M),GUADIANA,-,265091,158936,38.39525,-7.38801,EDIA,ÉVORA,MOURÃO,MOURÃO,RIO GUADIANA,-,-,06/03/2003,-,EDIA,ATIVA
23M.15P,ALQUEVA - MOURÃO - CCHA (P),GUADIANA,-,-,-,38.39525,-7.38801,-,-,-,-,,-,-,-,-,EDIA,-
23M.15S,ALQUEVA - MOURÃO - CCHA (S),GUADIANA,-,265091,158936,38.39525,-7.38801,EDIA,ÉVORA,MOURÃO,MOURÃO,RIO GUADIANA,-,-,06/03/2003,-,EDIA,ATIVA
24M.15C,ALQUEVA MONTANTE - CCHA (C),GUADIANA,-,258460,139222,38.21812,-7.46554,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),,-,-,18/11/2009,-,EDIA,ATIVA
24M.15F,ALQUEVA MONTANTE - CCHA (F),GUADIANA,-,258460,139222,38.21812,-7.46554,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,05/05/2003,-,EDIA,ATIVA
24M.15M,ALQUEVA MONTANTE - CCHA (M),GUADIANA,-,258460,139222,38.21812,-7.46554,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,05/05/2003,-,EDIA,ATIVA
24M.15P,ALQUEVA MONTANTE - CCHA (P),GUADIANA,-,-,-,38.21812,-7.46554,-,-,-,-,,-,-,-,-,EDIA,-
24M.15S,ALQUEVA MONTANTE - CCHA (S),GUADIANA,-,258460,139222,38.21812,-7.46554,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,05/05/2003,-,EDIA,ATIVA
12K.06,ALTO CEIRA 01 - CCHE,,-,-,-,40.192861,-7.817139,ARH-CENTRO,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO-VIDUAL,,-,-,-,-,-,-
12J.09,ALTO CEIRA 02 - CCHE,,-,-,-,40.179806,-7.860111,ARH-CENTRO,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO-VIDUAL,,-,-,-,-,-,-
13J.05,ALTO CEIRA 03 - CCHE,,-,-,-,40.153694,-7.9115,ARH-CENTRO,COIMBRA,PAMPILHOSA DA SERRA,FAJÃO-VIDUAL,,-,-,-,-,-,-
03K.01,ALTO CÁVADO 02 - CCHE,,-,-,-,41.820626,-7.826463,ARH-NORTE,VILA REAL,MONTALEGRE,UNIÃO DAS FREGUESIAS DE CAMBESES DO RIO  DONÕES E MOURILHE,,-,-,-,-,-,-
03J.02,ALTO CÁVADO 03 - CCHE,,-,-,-,41.802028,-7.878917,ARH-NORTE,VILA REAL,MONTALEGRE,UNIÃO DAS FREGUESIAS DE SEZELHE E COVELÃES,,-,-,-,-,-,-
03J.03,ALTO CÁVADO 04 - CCHE,,-,-,-,41.788389,-7.912583,ARH-NORTE,VILA REAL,MONTALEGRE,UNIÃO DAS FREGUESIAS DE PARADELA  CONTIM E FIÃES,,-,-,-,-,-,-
09O.51,ALTO DOS SANCHOS,DOURO,450,294788,424671,40.7856,-7.0102,UTAD,GUARDA,PINHEL,VALE DE MADEIRA,RIBEIRA DOS GAITEIROS,-,-,28/04/2010,-,DQA_ECOL_OPER,ATIVA
26G.04,ALVALADE CAMPILHAS,SADO,45,176143,107289,37.93201,-8.40446,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,RIBEIRA DE CAMPILHAS,698.32,131.4,27/10/1994,-,IMPACTO / PISC-CIP-78-659 / DQA_ECOL_OPER,ATIVA
26G.05,ALVALADE SADO,SADO,49,177988,108301,37.94118,-8.3835,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,RIO SADO,669.75,131.02,28/10/1985,-,FLUXO / PISC-CIP-78-659 / SP / DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA
13I.51,ALVARES,TEJO,-,203549,338301,40.016849,-8.097691,ARH-TEJO,COIMBRA,GÓIS,ALVARES,RIBEIRA DO SINHEL,-,-,15/09/2009,-,DQA_ECOL_VIG,ATIVA
25L.11,ALVARRÃO - ALVAR1 - CCHA,GUADIANA,-,-,-,38.097222,-7.533056,EDIA,BEJA,SERPA,PIAS,,-,-,-,-,-,-
04E.11,ALVAS - TREGOSA,NEIVA,-,-,-,41.634095,-8.708711,ARH-NORTE,VIANA DO CASTELO,VIANA DO CASTELO,UNIÃO DAS FREGUESIAS DE BARROSELAS E CARVOEIRO,,-,-,-,-,-,-
17I.08,ALVEGA,TEJO,-,-,-,39.46459,-8.0429,ARH-TEJO,SANTARÉM,ABRANTES,UNIÃO DAS FREGUESIAS DE ALVEGA E CONCAVADA,,-,-,-,-,-,-
17G.09,ALVERCA GOLEGÃ,TEJO,17,169384,270110,39.399189,-8.489472,CCDR-LVT,SANTARÉM,GOLEGÃ,GOLEGÃ,RIO ALMONDA,5.47,136.81,12/10/1999,-,IMPACTO,ATIVA
24J.11C,ALVITO - CCHA (C),SADO,-,219603,146268,38.28328,-7.90905,EDIA,ÉVORA,PORTEL,SÃO BARTOLOMEU DO OUTEIRO,,-,-,17/11/2009,-,EDIA,ATIVA
24J.11F,ALVITO - CCHA (F),SADO,-,219603,146268,38.28328,-7.90905,EDIA,ÉVORA,PORTEL,SÃO BARTOLOMEU DO OUTEIRO,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,-,-,12/05/2005,-,EDIA,ATIVA
24J.11P,ALVITO - CCHA (P),SADO,-,-,-,38.28328,-7.90905,-,-,-,-,,-,-,-,-,EDIA,-
24J.11S,ALVITO - CCHA (S),SADO,-,219603,146268,38.28328,-7.90905,EDIA,ÉVORA,PORTEL,SÃO BARTOLOMEU DO OUTEIRO,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,-,-,12/05/2005,-,EDIA,ATIVA
24J.12,ALVITO - JUSANTE - CCHA,SADO,-,218992,144924,38.27118,-7.91606,EDIA,BEJA,CUBA,VILA ALVA,,-,-,15/11/2006,-,EDIA,ATIVA
24K.10,ALVITO - MONTANTE - CCHA,SADO,-,226873,148970,38.307081,-7.826414,EDIA,ÉVORA,PORTEL,SANTANA,,-,-,23/01/2008,-,EDIA,ATIVA
24J.10C,ALVITO - TÚNEL - CCHA (C),SADO,-,225455,149107,38.30871,-7.84206,EDIA,ÉVORA,PORTEL,ORIOLA,,-,-,23/03/2010,-,EDIA,ATIVA
24J.10S,ALVITO - TÚNEL - CCHA (S),SADO,-,225455,149107,38.30871,-7.84206,EDIA,ÉVORA,PORTEL,ORIOLA,RIBEIRA DE ODIVELAS OU ORIOLA OU ALVITO,-,-,16/11/2007,-,EDIA,ATIVA
24J.03,ALVITO PISÃO - ALVPIS1 - CCHA,SADO,-,-,-,38.208611,-7.941111,EDIA,BEJA,ALVITO,ALVITO,,-,-,-,-,-,-
25J.01,ALVITO PISÃO - ALVPIS2 - CCHA,GUADIANA,-,-,-,38.094444,-7.906944,EDIA,BEJA,BEJA,UNIÃO DAS FREGUESIAS DE TRIGACHES E SÃO BRISSOS,,-,-,-,-,-,-
25K.04,ALVITO PISÃO - ALVPIS4 - CCHA,GUADIANA,-,-,-,38.100278,-7.685278,EDIA,BEJA,VIDIGUEIRA,PEDRÓGÃO,,-,-,-,-,-,-
12J.05,ALVOCO - CCHE,MONDEGO,-,-,-,40.30456,-7.85261,EDP,COIMBRA,OLIVEIRA DO HOSPITAL,ALVOCO DAS VÁRZEAS,RIO ALVOCO OU DE VIDE,-,-,01/01/2011,-,TURH,ATIVA
12K.05,ALVOCO DA SERRA,MONDEGO,-,-,-,40.29455,-7.6714,ARH-CENTRO,GUARDA,SEIA,ALVOCO DA SERRA,,-,-,-,-,-,-
07G.50,ALVRE,DOURO,91,176120,461741,41.124344,-8.419389,UTAD,PORTO,PAREDES,AGUIAR DE SOUSA,RIBEIRA DE SANTA COMBA,-,-,07/06/2010,-,DQA_ECOL_VIG,ATIVA
29J.56,AMEIXIAL,GUADIANA,-,216020,43421,37.35694,-7.95265,ARH-ALGARVE,FARO,LOULÉ,AMEIXIAL,RIBEIRA DO VASCÃOZINHO,-,-,16/04/2009,-,DQA_ECOL_VIG,ATIVA
27J.02,AMENDOEIRA DO CAMPO,GUADIANA,-,-,-,37.804133,-7.840167,ARH-ALENTEJO,BEJA,MÉRTOLA,ALCARIA RUIVA,,-,-,-,-,-,-
06M.02,AMIEIRO,DOURO,-,-,-,41.29098,-7.39992,ARH-NORTE,VILA REAL,ALIJÓ,UNIÃO DAS FREGUESIAS DE CARLÃO E AMIEIRO,,-,-,-,-,-,-
15D.01,AMOR,LIS/RIBEIRAS COSTEIRAS,11,138833,315714,39.806994,-8.847015,ARH-CENTRO,LEIRIA,LEIRIA,ORTIGOSA,RIO LIS,552.79,18.14,17/02/1992,-,FLUXO / DQA_QUIM_VIG,ATIVA
15D.53,AMOR - RIO LIS,LIS/RIBEIRAS COSTEIRAS,-,-60960.76,15263.66,39.8035488,-8.8449468,ARH-CENTRO,LEIRIA,LEIRIA,AMOR,RIO LIS,-,-,26/02/2013,20/05/2015,DQA_ECOL_OPER,EXTINTA
21G.01,AMOREIRA,TEJO,-,-,-,38.770864,-8.374127,ARH-TEJO,ÉVORA,MONTEMOR-O-NOVO,UNIÃO DAS FREGUESIAS DE CORTIÇADAS DE LAVRE E LAVRE,,-,-,-,-,-,-
25L.07C,AMOREIRA - CCHA (C),GUADIANA,-,250044,125556,38.09552,-7.56259,EDIA,BEJA,SERPA,PIAS,,-,-,19/11/2009,-,EDIA,ATIVA
25L.07F,AMOREIRA - CCHA (F),GUADIANA,-,250044,125556,38.09552,-7.56259,EDIA,BEJA,SERPA,PIAS,,-,-,10/02/2009,-,EDIA,ATIVA
25L.07P,AMOREIRA - CCHA (P),GUADIANA,-,-,-,38.09552,-7.56259,-,-,-,-,,-,-,-,-,EDIA,-
25L.07S,AMOREIRA - CCHA (S),GUADIANA,-,250044,125556,38.09552,-7.56259,EDIA,BEJA,SERPA,PIAS,,-,-,10/02/2009,-,EDIA,ATIVA
25L.09,AMOREIRA JUSANTE - CCHA,GUADIANA,-,49410.55,-173821.53,38.101136,-7.569781,EDIA,-,-,-,,-,-,01/01/2009,-,EDIA,ATIVA
11K.04,ANDORINHA,MONDEGO,401,235149,384909,40.43158,-7.718352,ARH-CENTRO,GUARDA,SEIA,SANTA COMBA,RIO SEIA OU RIBEIRA DE PASSOS OU DE AGUA JOANA,44.15,144.5,18/02/2002,-,PISC-SALM,ATIVA
04L.02,ANELHE,DOURO,319,246425,522244,41.66822,-7.57567,ARH-NORTE,VILA REAL,CHAVES,VILARINHO DAS PARANHEIRAS,RIO TÂMEGA,1104.44,164.78,12/10/1993,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG,ATIVA
20I.02,ANTIGA LINHA FÉRREA,,-,-,-,38.954204,-8.134025,ARH-TEJO,ÉVORA,MORA,PAVIA,,-,-,-,-,-,-
04K.01,ANTIGO,DOURO,-,-,-,41.64099,-7.8314,ARH-NORTE,VILA REAL,BOTICAS,DORNELAS,,-,-,-,-,-,-
12F.06,ANÇA,MONDEGO,18,167462,366592,40.267717,-8.515774,ARH-CENTRO,COIMBRA,CANTANHEDE,ANÇÃ,RIBEIRA DE ANCA OU DE OUTIL,59.16,45.04,19/02/2001,-,PISC-CIP-78-659 / DQA_QUIM_VIG,ATIVA
31F.02F,ARADE - FORTE SÃO JOÃO (F),RIBEIRAS DO ALGARVE,-,-,-,37.1192,-8.52423,INAG/IPIMAR,FARO,LAGOA,FERRAGUDO,RIO ARADE,-,-,09/03/2010,-,EEMA,ATIVA
31F.02S,ARADE - FORTE SÃO JOÃO (S),RIBEIRAS DO ALGARVE,-,-,-,37.1192,-8.52423,INAG/IPIMAR,FARO,LAGOA,FERRAGUDO,RIO ARADE,-,-,09/03/2010,-,EEMA,ATIVA
30G.53,ARADE - JUSANTE,RIBEIRAS DO ALGARVE,-,178247,28710,37.224084,-8.378201,ARH-ALGARVE,FARO,SILVES,SILVES,RIO ARADE,-,-,01/01/2016,-,DQA_ECOL_VIG,ATIVA
31F.01F,ARADE - MEXILHOEIRA CARREGAÇÃO (F),RIBEIRAS DO ALGARVE,-,-,-,37.14425,-8.51528,INAG/IPIMAR,FARO,LAGOA,PARCHAL,RIO ARADE,-,-,09/03/2010,-,EEMA,ATIVA
31F.01S,ARADE - MEXILHOEIRA CARREGAÇÃO (S),ARADE,-,-,-,37.14425,-8.51528,INAG/IPIMAR,FARO,LAGOA,PARCHAL,RIO ARADE,-,-,09/03/2010,-,EEMA,ATIVA
30G.01,ARADE - SILVES,RIBEIRAS DO ALGARVE,-,-,-,37.18635,-8.43978,INAG/IPIMAR,FARO,LAGOA,PARCHAL,RIO ARADE,-,-,09/03/2010,-,EEMA,ATIVA
30G.12,ARADE_est 1,,-,-,-,37.19432,-8.40579,INAG/IPIMAR,FARO,SILVES,SILVES,RIO ARADE,-,-,01/01/2011,-,EEMA,ATIVA
30G.13,ARADE_est 2,,-,-,-,37.18733,-8.43707,INAG/IPIMAR,FARO,SILVES,SILVES,RIO ARADE,-,-,01/01/2011,-,EEMA,ATIVA
24O.50,ARDILA - BARRANCOS,GUADIANA,-,288264,134741,38.17533,-7.1258,ARH-ALENTEJO,BEJA,BARRANCOS,BARRANCOS,RIO ARDILA,-,-,21/04/2009,-,DQA_ECOL_VIG,ATIVA
25N.02,ARDILA - CAPTAÇÃO,GUADIANA,123,278496,132031,38.15182,-7.23755,ARH-ALENTEJO,BEJA,MOURA,SAFARA,RIO ARDILA,3218.89,185.94,04/01/1982,-,PISC-CIP-2/SP/NITRATOS/DQA_ECOL_VIG,ATIVA
25L.03F,ARDILA - CAPTAÇÃO - CCHA (F),GUADIANA,-,244225,127214,38.11076,-7.62882,EDIA,BEJA,SERPA,PIAS,RIO GUADIANA,-,-,23/10/2007,-,EDIA,ATIVA
25L.03S,ARDILA - CAPTAÇÃO - CCHA (S),GUADIANA,-,244225,127214,38.11076,-7.62882,EDIA,BEJA,SERPA,PIAS,RIO GUADIANA,-,-,23/10/2007,-,EDIA,ATIVA
25M.15C,ARDILA - CCHA (C),GUADIANA,-,259114,133327,38.16497,-7.45856,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,14/11/2011,-,DQA_ECOL_OPER,ATIVA
25M.15F,ARDILA - CCHA (F),GUADIANA,-,259114,133327,38.16497,-7.45856,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,09/01/2006,-,EDIA,ATIVA
25M.15S,ARDILA - CCHA (S),GUADIANA,-,259114,133327,38.16497,-7.45856,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO GUADIANA,-,-,10/05/2005,-,DQA_ECOL_OPER,ATIVA
25M.10,ARDILA - MONTANTE - CCHA,GUADIANA,-,262757,133612,38.16729,-7.41697,EDIA,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIO ARDILA,-,-,07/03/2003,-,EDIA,ATIVA
24O.01,ARDILA 1,GUADIANA,145,288110,134450,38.17272,-7.12759,ARH-ALENTEJO,ÉVORA,MOURÃO,GRANJA,RIO ARDILA,2837.09,203.07,08/01/2001,-,FLUXO-TFRONT-LE(PISC-CIP; CAPTAÇÃO) / DQA_QUIM_VIG / CADC / DQA_ECOL_VIG,ATIVA
04F.04,AREAL BESSA,CÁVADO/RIBEIRAS COSTEIRAS,7,160180,506508,41.52691,-8.61021,ARH-NORTE,BRAGA,BARCELOS,BARCELOS,RIO CÁVADO,1431.85,19.89,11/01/1993,18/02/1999,CAPTAÇÃO / EXTRACÇÃO,EXTINTA
04E.27,AREINHO DE MARIZ,,-,-,-,41.523168,-8.67042,-,-,-,-,,-,-,01/01/2019,-,-,ATIVA
02E.12,ARGA DE BAIXO,MINHO,-,-,-,41.857176,-8.70919,ARH-NORTE,-,-,-,,-,-,-,-,-,-
02E.11,ARGELA,MINHO,-,-,-,41.86603,-8.80353,ARH-NORTE,VIANA DO CASTELO,CAMINHA,ARGELA,,-,-,-,-,-,-
05G.15,ARGEMIL,AVE,-,-,-,41.352364,-8.4971,ARH-NORTE,PORTO,SANTO TIRSO,UNIÃO DAS FREGUESIAS DE SANTO TIRSO  COUTO (SANTA CRISTINA E SÃO MIGUEL) E BURGÃES,,-,-,-,-,-,-
07K.17,ARMAMAR - RIB. DE TEMILOBOS,DOURO,-,-,-,41.09183,-7.68843,ARH-NORTE,VISEU,ARMAMAR,ARMAMAR,,-,-,-,-,-,-
20D.07,ARNEIRO CARDAL,,-,-,-,38.8387,-8.895596,ARH-TEJO,SANTARÉM,BENAVENTE,SAMORA CORREIA,,-,-,-,-,-,-
05F.50,ARNOSO,AVE,80,167038,499917,41.4679,-8.5277,UTAD,BRAGA,VILA NOVA DE FAMALICÃO,ARNOSO (SANTA EULÁLIA),RIO ESTE,-,-,22/06/2010,-,DQA_ECOL_OPER,ATIVA
04H.09,AROSA,AVE,-,-,-,41.55108,-8.22949,ARH-NORTE,BRAGA,GUIMARÃES,UNIÃO DAS FREGUESIAS DE AROSA E CASTELÕES,,-,-,-,-,-,-
06F.06,ARQUINHO,LEÇA,-,-,-,41.211672,-8.599991,ARH-NORTE,PORTO,MAIA,MILHEIRÓS,,-,-,-,-,-,-
20A.50,ARQUITETO,RIBEIRAS DO OESTE,-,93584,218171,38.924921,-9.360183,ARH-TEJO,LISBOA,MAFRA,IGREJA NOVA,RIO DO LIZANDRO,-,-,07/10/2009,-,DQA_ECOL_OPER,ATIVA
06K.14,ARRABÃES,DOURO,-,-,-,41.283867,-7.811513,ARH-NORTE,VILA REAL,VILA REAL,TORGUEDA,,-,-,-,-,-,-
16J.03,ARRIACHA,TEJO,-,-,-,39.516,-7.982,ARH-TEJO,SANTARÉM,MAÇÃO,UNIÃO DAS FREGUESIAS DE MAÇÃO  PENHASCOSO E ABOBOREIRA,,-,-,-,-,-,-
17H.50,ARRIFANA,TEJO,-,194454,274246,39.433106,-8.195326,ARH-TEJO,SANTARÉM,ABRANTES,SÃO MIGUEL DO RIO TORTO,RIO TORTO,-,-,15/09/2009,-,DQA_ECOL_VIG,ATIVA
19N.50,ARRONCHES,GUADIANA,-,273921,240541,39.12958,-7.27822,ARH-ALENTEJO,PORTALEGRE,ARRONCHES,ASSUNÇÃO,RIBEIRA DE ARRONCHES,-,-,11/05/2009,-,DQA_ECOL_OPER,ATIVA
18D.50,ARROUQUELAS,TEJO,-,134348,254156,39.253137,-8.892937,ARH-TEJO,SANTARÉM,RIO MAIOR,ARROUQUELAS,RIBEIRA DO JUNCAL,-,-,06/10/2009,-,DQA_ECOL_OPER,ATIVA
07O.53,ARTORTAS,DOURO,140,286815,448557,41.0015,-7.1013,UTAD,GUARDA,VILA NOVA DE FOZ CÔA,ALMENDRA,,-,-,29/04/2010,-,DQA_ECOL_OPER,ATIVA
12F.07,ARZILA,MONDEGO,41,162981,357720,40.187079,-8.565238,ARH-CENTRO,COIMBRA,MONTEMOR-O-VELHO,PEREIRA,VALA DE PEREIRA OU DO PAUL DE ARZILA OU RIBEIRA DE CERNACHE,53.63,35.03,21/02/2001,-,PISC-CIP-78-659 / DQA_QUIM_VIG,ATIVA
03D.01,ASPRA,ÂNCORA,16,141382,537392,41.803937,-8.84046,CCDR-NORTE,VIANA DO CASTELO,CAMINHA,ÂNCORA,RIO ÂNCORA,63.17,2.59,07/11/1989,03/02/2000,Fluxo,EXTINTA
21N.11C,ASSECA - CONFLUÊNCIA - CCHA (C),GUADIANA,-,75396,-109894,38.6751808,-7.2667049,EDIA,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),,-,-,23/11/2011,-,EDIA,ATIVA
21N.11S,ASSECA - CONFLUÊNCIA - CCHA (S),GUADIANA,-,75396,-109894,38.6751808,-7.2667049,EDIA,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),,-,-,23/11/2011,-,EDIA,ATIVA
30L.51,ATALISCA,GUADIANA,-,249459,36528,37.293467,-7.575308,ARH-ALGARVE,FARO,CASTRO MARIM,ODELEITE,RIBEIRA DE BELICHE,-,-,01/01/2016,-,DQA_ECOL_VIG,ATIVA
05R.03,ATENOR,DOURO,-,-,-,41.4582,-6.52562,ARH-NORTE,BRAGANÇA,MIRANDA DO DOURO,UNIÃO DAS FREGUESIAS DE SENDIM E ATENOR,,-,-,-,-,-,-
17B.20,ATOUGUIA DA BALEIA,RIBEIRAS DO OESTE,-,-,-,39.346087,-9.325876,ARH-TEJO,LEIRIA,PENICHE,ATOUGUIA DA BALEIA,,-,-,-,-,-,-
20C.03,AV. FREIXIAL,TEJO,101,112109,215792,38.905133,-9.146105,CCDR-LVT,LISBOA,LOURES,BUCELAS,RIO TRANCÃO,46.39,56.28,19/01/1993,11/12/2008,Fluxo,EXTINTA
15G.01,AVANTEIRA,TEJO,-,-,-,39.753344,-8.454802,ARH-TEJO,SANTARÉM,OURÉM,UNIÃO DAS FREGUESIAS DE FREIXIANDA  RIBEIRA DO FÁRRIO E FORMIGAIS,,-,-,-,-,-,-
05E.22F,AVE - AV2A (F),,-,-,-,41.34784,-8.74372,-,-,-,-,,-,-,01/01/2019,-,DQA,ATIVA
05E.22S,AVE - AV2A (S),AVE,0,148897,486691,41.34784,-8.74372,ARH-NORTE,PORTO,VILA DO CONDE,AZURARA,RIO AVE,1372.15,1.17,15/03/2003,-,DQA,REATIVADA
05E.21,AVE - BACIA MANOBRA,AVE,0,148528,485638,41.33833,-8.74804,INAG/IH,PORTO,VILA DO CONDE,AZURARA,RIO AVE,1386.9,0.08,18/02/2002,08/09/2004,SP,EXTINTA
05E.08F,AVE - FOZ (F),AVE,-,-,-,41.33923,-8.74768,INAG/IPIMAR,PORTO,VILA DO CONDE,-,RIO AVE,-,-,17/06/2009,-,EEMA,ATIVA
05E.08S,AVE - FOZ (S),AVE,-,-,-,41.33923,-8.74768,INAG/IPIMAR,PORTO,VILA DO CONDE,-,RIO AVE,-,-,17/06/2009,-,EEMA,ATIVA
05E.07F,AVE - GRANJA (F),AVE,-,-,-,41.342,-8.74472,INAG/IPIMAR,PORTO,VILA DO CONDE,-,RIO AVE,-,-,17/06/2009,-,EEMA,ATIVA
05E.07S,AVE - GRANJA (S),AVE,-,-,-,41.342,-8.74472,INAG/IPIMAR,PORTO,VILA DO CONDE,-,RIO AVE,-,-,17/06/2009,-,EEMA,ATIVA
05E.23S,AVE - PONTE CASALINHO - RETORTA (S),AVE,6,150278,487726,41.35724,-8.72731,INAG/IH,PORTO,VILA DO CONDE,RETORTA,RIO AVE,1367.72,3.2,18/02/2002,-,SP,REATIVADA
05E.05F,AVE - SANTA CLARA (F),AVE,-,-,-,41.35142,-8.73695,INAG/IPIMAR,PORTO,VILA DO CONDE,-,RIO AVE,-,-,17/06/2009,-,EEMA,ATIVA
05E.05S,AVE - SANTA CLARA (S),AVE,-,-,-,41.35142,-8.73695,INAG/IPIMAR,PORTO,VILA DO CONDE,-,RIO AVE,-,-,17/06/2009,-,EEMA,ATIVA
06E.20F,AVE - SAÍDA ESTUÁRIO (F),OCEANO ATLÂNTICO,-,147674,484071,41.32417,-8.7581,INAG/IH,-,-,-,OCEANO ATLÂNTICO,-,-,18/02/2002,08/09/2004,SP,EXTINTA
06E.20S,AVE - SAÍDA ESTUÁRIO (S),OCEANO ATLÂNTICO,-,147674,484071,41.32417,-8.7581,INAG/IH,-,-,-,OCEANO ATLÂNTICO,-,-,18/02/2002,08/09/2004,SP,EXTINTA
05E.06F,AVE - SÃO SEBASTIÃO (F),AVE,-,-,-,41.34895,-8.74248,INAG/IPIMAR,PORTO,VILA DO CONDE,-,RIO AVE,-,-,17/06/2009,-,EEMA,ATIVA
