Main_animals,Animals,DWG,Unit,Source,Assumption
Bovine,Male_calf_2,0,kg head-1 day-1,GLEAMS,Assumed
Bovine,Male_calf_1-2,0.9,kg head-1 day-1,GLEAMS,
Bovine,Non_dairy,0,kg head-1 day-1,GLEAMS,
Bovine,Other_calf,0.9,kg head-1 day-1,GLEAMS,
Bovine,Beef_calf,0.9,kg head-1 day-1,GLEAMS,
Bovine,Dairy_cows,0,kg head-1 day-1,GLEAMS,
Bovine,Female_calf_2,0,kg head-1 day-1,GLEAMS,
Bovine,Female_calf_1-2,0.75,kg head-1 day-1,GLEAMS,
Bovine,Female_calf-1,0.75,kg head-1 day-1,GLEAMS,
Equides,Horses,,,GLEAMS,
Equides,Other_equidae,,,GLEAMS,
Goats,Goats,0,,,
Goats,Doeling,0.2,kg head-1 day-1,Assumed,Assumed
Goats,Buck,0.2,kg head-1 day-1,Assumed,Assumed
Sheep,Ewes_dairy,0,,,
Sheep,Ewes_other,0.3,kg head-1 day-1,GLEAMS,Assumed
Sheep,Ram,0.3,kg head-1 day-1,GLEAMS,Assumed
Rabbits,Rabbits,,,GLEAMS,
Pigs,Pregnant_sows,,,GLEAMS,
Pigs,Other_swine,,,GLEAMS,
Pigs,Pigs_50,,,GLEAMS,
Pigs,Pigs_20,,,GLEAMS,
Pigs,Non_pregnant_sows,,,GLEAMS,
Poultry,Broilers,,,GLEAMS,
Poultry,Ducks,,,GLEAMS,
Poultry,Geese,,,GLEAMS,
Poultry,Rep_hens,,,GLEAMS,
Poultry,Turkeys,,,GLEAMS,
Poultry,Laying_hens,,,GLEAMS,
