Main_animals,Animals,C,a,b,Unit,Source
Bovine,Male_calf_2,0,,,(-),GLEAMS
Bovine,Male_calf_1-2,1.2,,,(-),GLEAMS
Bovine,Non_dairy,0.8,,,(-),GLEAMS
Bovine,Other_calf,1,,,(-),GLEAMS
Bovine,Beef_calf,0.8,,,(-),GLEAMS
Bovine,Dairy_cows,0,,,(-),GLEAMS
Bovine,Female_calf_2,0,,,(-),GLEAMS
Bovine,Female_calf_1-2,0.8,,,(-),GLEAMS
Bovine,Female_calf-1,0.8,,,(-),GLEAMS
Equides,Horses,,,,,GLEAMS
Equides,Other_equidae,,,,,GLEAMS
Goats,Goats,,0,0,,GLEAMS
Goats,Doeling,,2.1,0.45,Mj kg-1; Mj kg-2,GLEAMS
Goats,Buck,,0,0,Mj kg-1; Mj kg-2,GLEAMS
Sheep,Ewes_dairy,,0,0,,GLEAMS
Sheep,Ewes_other,,2.1,0.45,Mj kg-1; Mj kg-2,GLEAMS
Sheep,Ram,,0,0,Mj kg-1; Mj kg-2,GLEAMS
Rabbits,Rabbits,,,,,GLEAMS
Pigs,Pregnant_sows,,,,,GLEAMS
Pigs,Other_swine,,,,,GLEAMS
Pigs,Pigs_50,,,,,GLEAMS
Pigs,Pigs_20,,,,,GLEAMS
Pigs,Non_pregnant_sows,,,,,GLEAMS
Poultry,Broilers,,,,,GLEAMS
Poultry,Ducks,,,,,GLEAMS
Poultry,Geese,,,,,GLEAMS
Poultry,Rep_hens,,,,,GLEAMS
Poultry,Turkeys,,,,,GLEAMS
Poultry,Laying_hens,,,,,GLEAMS
