Main_animals,Animals,C_kg,Unit,Source,Assumption
Bovine,Male_calf_2,,kg,GLEAMS,
Bovine,Male_calf_1-2,,kg,GLEAMS,
Bovine,Non_dairy,,kg,GLEAMS,
Bovine,Other_calf,,kg,GLEAMS,
Bovine,Beef_calf,,kg,GLEAMS,
Bovine,Dairy_cows,,kg,GLEAMS,
Bovine,Female_calf_2,,kg,GLEAMS,
Bovine,Female_calf_1-2,,kg,GLEAMS,
Bovine,Female_calf-1,,kg,GLEAMS,
Equides,Horses,,kg,GLEAMS,
Equides,Other_equidae,,kg,GLEAMS,
Goats,Goats,,kg,GLEAMS,
Goats,Doeling,4.1,kg,GLEAMS,
Goats,Buck,,kg,GLEAMS,
Sheep,Ewes_dairy,,kg,GLEAMS,
Sheep,Ewes_other,4.5,kg,GLEAMS,
Sheep,Ram,,kg,GLEAMS,
Rabbits,Rabbits,,kg,GLEAMS,
Pigs,Pregnant_sows,,kg,GLEAMS,
Pigs,Other_swine,,kg,GLEAMS,
Pigs,Pigs_50,,kg,GLEAMS,
Pigs,Pigs_20,,kg,GLEAMS,
Pigs,Non_pregnant_sows,,kg,GLEAMS,
Poultry,Broilers,,kg,GLEAMS,
Poultry,Ducks,,kg,GLEAMS,
Poultry,Geese,,kg,GLEAMS,
Poultry,Rep_hens,,kg,GLEAMS,
Poultry,Turkeys,,kg,GLEAMS,
Poultry,Laying_hens,,kg,GLEAMS,
