Product,temperate_normal,temperate_high,mediterranean_normal,mediterranean_high
AAN,19.4,40.1,24.3,49.8
AP,61.9,114.1,77.7,142.1
AS,111.7,206.4,139.6,257.4
CAN,9.7,20.6,12.1,25.5
Urea,193.1,204,240.4,255
NK_compound,26.7,40.1,24.3,49.8
NPK_compound,81.4,114.1,77.7,142.1
Other_NP,81.4,114.1,77.7,142.1
N_solutions,121.4,117.8,153,148.1
Other_Nstraight,17,24.3,15.8,30.4
