"Muni_ID","ID","Muni","1989","1999","2009"
1601,"1111601","Arcos de Valdevez","25","126","107"
1602,"1111602","Caminha","114","127","2"
1603,"1111603","Melgaço","47","3","73"
1604,"1111604","Monção","807","34","414"
1605,"1111605","Paredes de Coura","13","43","39"
1606,"1111606","Ponte da Barca","13","94","12"
1607,"1111607","Ponte de Lima","2087","353","71"
1608,"1111608","Valença","7","20","79"
1609,"1111609","Viana do Castelo","2501","443","196"
1610,"1111610","Vila Nova de Cerveira","90","13","6"
301,"1120301","Amares","1096","120","166"
302,"1120302","Barcelos","8977","5180","677"
303,"1120303","Braga","923","825","129"
306,"1120306","Esposende","1064","922","52"
310,"1120310","Terras de Bouro","433","22","73"
313,"1120313","Vila Verde","651","445","492"
307,"1130307","Fafe","199","202","86"
308,"1130308","Guimarães","1053","680","509"
309,"1130309","Póvoa de Lanhoso","526","599","39"
1314,"1131314","Santo Tirso","1393","744","355"
1318,"1131318","Trofa","0","867","114"
311,"1130311","Vieira do Minho","61","522","75"
312,"1130312","Vila Nova de Famalicão","1248","2161","632"
314,"1130314","Vizela","0","32","3"
107,"1140107","Espinho","17","10","29"
1304,"1141304","Gondomar","460","377","57"
1306,"1141306","Maia","1093","1171","298"
1308,"1141308","Matosinhos","581","785","212"
1312,"1141312","Porto","0","0","1"
1313,"1141313","Póvoa de Varzim","1525","629","167"
1315,"1141315","Valongo","370","304","24"
1316,"1141316","Vila do Conde","3546","3104","1354"
1317,"1141317","Vila Nova de Gaia","653","324","34"
1301,"1151301","Amarante","222","255","97"
1302,"1151302","Baião","12","64","11"
304,"1150304","Cabeceiras de Basto","64","174","299"
106,"1150106","Castelo de Paiva","901","200","115"
305,"1150305","Celorico de Basto","478","265","63"
1804,"1151804","Cinfães","625","88","44"
1303,"1151303","Felgueiras","835","603","5"
1305,"1151305","Lousada","270","269","95"
1307,"1151307","Marco de Canaveses","1495","396","83"
1705,"1151705","Mondim de Basto","12","126","48"
1309,"1151309","Paços de Ferreira","53","173","261"
1310,"1151310","Paredes","651","371","55"
1311,"1151311","Penafiel","922","554","44"
1813,"1151813","Resende","26","10","30"
1709,"1151709","Ribeira de Pena","86","308","186"
104,"1160104","Arouca","434","680","218"
113,"1160113","Oliveira de Azeméis","341","1164","294"
109,"1160109","Santa Maria da Feira","443","1053","179"
116,"1160116","São João da Madeira","0","0","0"
119,"1160119","Vale de Cambra","1006","501","59"
1701,"1171701","Alijó","99","8","1"
1801,"1171801","Armamar","103","0","0"
403,"1170403","Carrazeda de Ansiães","5","22","0"
404,"1170404","Freixo de Espada à Cinta","15","59","0"
1805,"1171805","Lamego","321","15","21"
1704,"1171704","Mesão Frio","0","0","0"
1807,"1171807","Moimenta da Beira","633","24","132"
1812,"1171812","Penedono","24","4","11"
1708,"1171708","Peso da Régua","0","0","0"
1710,"1171710","Sabrosa","4","7","0"
1711,"1171711","Santa Marta de Penaguião","3","0","0"
1815,"1171815","São João da Pesqueira","39","25","12"
1818,"1171818","Sernancelhe","305","2","54"
1819,"1171819","Tabuaço","61","3","0"
1820,"1171820","Tarouca","130","56","1"
409,"1170409","Torre de Moncorvo","27","65","17"
410,"1170410","Vila Flor","81","26","33"
914,"1170914","Vila Nova de Foz Côa","12","23","0"
1714,"1171714","Vila Real","119","540","56"
401,"1180401","Alfândega da Fé","396","137","21"
1702,"1181702","Boticas","2","1","0"
402,"1180402","Bragança","381","17","42"
1703,"1181703","Chaves","235","72","65"
405,"1180405","Macedo de Cavaleiros","620","192","18"
406,"1180406","Miranda do Douro","168","7","0"
407,"1180407","Mirandela","374","20","30"
408,"1180408","Mogadouro","122","97","36"
1706,"1181706","Montalegre","22","8","20"
1707,"1181707","Murça","38","19","0"
1712,"1181712","Valpaços","344","22","1"
1713,"1181713","Vila Pouca de Aguiar","13","131","61"
411,"1180411","Vimioso","46","7","4"
412,"1180412","Vinhais","89","3","10"
101,"1610101","Águeda","94","554","132"
102,"1610102","Albergaria-a-Velha","1665","756","138"
103,"1610103","Anadia","299","86","45"
105,"1610105","Aveiro","1956","882","393"
108,"1610108","Estarreja","2671","1621","578"
110,"1610110","Ílhavo","445","180","127"
111,"1610111","Mealhada","374","10","51"
112,"1610112","Murtosa","1066","455","291"
114,"1610114","Oliveira do Bairro","222","251","36"
115,"1610115","Ovar","2147","1399","430"
117,"1610117","Sever do Vouga","887","477","129"
118,"1610118","Vagos","3375","543","637"
602,"1620602","Cantanhede","2484","1719","1204"
603,"1620603","Coimbra","282","123","106"
604,"1620604","Condeixa-a-Nova","11","117","17"
605,"1620605","Figueira da Foz","1563","1316","665"
608,"1620608","Mira","2859","829","341"
610,"1620610","Montemor-o-Velho","2741","1789","1023"
613,"1620613","Penacova","132","46","12"
615,"1620615","Soure","377","247","98"
1004,"1631004","Batalha","55","34","3"
1009,"1631009","Leiria","183","33","29"
1010,"1631010","Marinha Grande","14","0","0"
1015,"1631015","Pombal","806","77","30"
1016,"1631016","Porto de Mós","119","75","92"
1002,"1641002","Alvaiázere","115","16","1"
1003,"1641003","Ansião","246","138","28"
601,"1640601","Arganil","4","24","15"
1007,"1641007","Castanheira de Pêra","0","2","0"
1008,"1641008","Figueiró dos Vinhos","6","8","0"
606,"1640606","Góis","10","0","0"
607,"1640607","Lousã","83","0","1"
609,"1640609","Miranda do Corvo","27","5","0"
611,"1640611","Oliveira do Hospital","428","145","114"
612,"1640612","Pampilhosa da Serra","9","6","0"
1013,"1641013","Pedrógão Grande","150","5","0"
614,"1640614","Penela","14","8","6"
616,"1640616","Tábua","217","101","18"
617,"1640617","Vila Nova de Poiares","35","2","1"
901,"1650901","Aguiar da Beira","632","5","30"
1802,"1651802","Carregal do Sal","134","11","16"
1803,"1651803","Castro Daire","1132","502","2"
1806,"1651806","Mangualde","1283","126","5"
1808,"1651808","Mortágua","200","7","10"
1809,"1651809","Nelas","112","65","77"
1810,"1651810","Oliveira de Frades","2982","482","193"
1811,"1651811","Penalva do Castelo","694","58","14"
1814,"1651814","Santa Comba Dão","168","36","3"
1816,"1651816","São Pedro do Sul","905","217","69"
1817,"1651817","Sátão","1338","565","34"
