"","elasticity","fom_2","fom_4","fom_8","iter"
"1","0.69,0.04,0.33,0.8,0.4,0.6,0.81,1,0.84,0.61,0.13,0,0.6,0.5,0,0.98",0.0707643126997966,0.270424545130217,0.795992714025501,1
"2","0.26,0.89,0.71,0.16,0.58,0.32,0.36,0.89,0.07,0.58,0.89,0.57,0.35,0.02,0.74,0.98",0.0656144965658336,0.279266055045871,0.829044117647058,2
"3","0.14,0.55,0.05,0.71,0.89,0.76,0.85,0.33,0.73,0.88,0.87,0.23,0.39,0.18,0.6,0.98",0.0652364273204904,0.274645325572935,0.782687651331719,3
"4","0.18,0.28,0.45,0.41,0.87,0.85,0.88,0.37,0.06,0.16,0.06,0.76,0.36,0.21,0.83,0.98",0.0672121566335476,0.280630961115187,0.809696969696969,4
"5","0.36,0.37,0.22,0.14,0.07,0.13,0.5,0.69,0.38,0.91,0.64,0.61,0.62,0.94,0.73,0.98",0.0667056758338209,0.272961058045555,0.83373786407767,5
"6","0.02,0.41,0.41,0.57,0.51,0.78,0.15,0.3,0.19,0.02,0.98,0.1,0.73,0.58,0.43,0.98",0.0701423177461516,0.273547455792133,0.85512584407612,6
"7","0.3,0.86,0.94,0.04,0.03,1,0.5,0.35,0.01,0.79,0.61,0.79,0.66,0.76,0.37,0.98",0.059932263289648,0.269924812030075,0.825531914893618,7
"8","0.88,0.97,0.78,0.44,0.64,0.17,0.5,0.15,0.82,0.65,0.77,0.74,0.73,0.91,0.93,0.98",0.055974006793679,0.276061776061777,0.757037943696451,8
"9","0.2,0.83,0.75,0.63,0.84,0.78,0.62,0.81,0.49,0.48,0.59,0.03,0.97,0.13,0.38,0.98",0.0673090962184261,0.279608837377761,0.828484848484848,9
"10","0.48,0.6,0.02,0.48,0.8,0.68,0.75,0.28,0.8,0.63,0.07,0.25,0.5,0.01,0.84,0.98",0.0677296664716208,0.278490289483327,0.784111582777442,10
"11","0.34,0.99,0.3,0.02,0.26,0.01,0.35,0.01,0.1,0.41,0.9,0.85,0.25,0.12,0.58,0.98",0.0653575615474796,0.281146637265711,0.860267314702309,11
"12","0.57,0.79,0.36,0.39,0.6,0.1,0.52,0.7,0.68,0.55,0.09,0.57,0.17,0.02,0.39,0.98",0.0641138497652584,0.274378939562477,0.783865141481035,12
"13","0.82,0.02,0.79,0.5,0.9,0.46,0.26,0.37,0.18,0.95,0.56,0.03,0.62,0.01,0.24,0.98",0.0726563628484762,0.274982282069454,0.832618025751073,13
"14","0.61,0.46,0.94,0.73,0.89,0.66,0.99,0.96,0.46,0.68,0.51,0.13,0.83,0.79,0.05,0.98",0.0600996775139255,0.280623608017817,0.779609279609279,14
"15","0.21,0.56,0.75,0.01,0.4,0.31,0.41,0.94,0.66,0.21,0.68,0.59,0.12,0.62,0.82,0.98",0.0650109569028487,0.272093876054272,0.867073170731707,15
