"","elasticity","fom_2","fom_4","fom_8","iter"
"1","0.23,0.13,0.35,0.29,0.33,0.33,0.19,0.24,0.38,0.98,0.12,0.38,0.2,0.98,0.51,0.98",0.103956885548149,0.24398073836276,0.897734231475812,1
"2","0.8,0.08,0.32,0.58,0.53,0.82,0.33,0.8,0.66,0.63,0.86,0.46,0.11,0.04,0.28,0.98",0.101692524682652,0.251666137734053,0.888414634146341,2
"3","0.45,0.64,0.56,0.75,0.81,0.08,0.16,0.81,0.61,0.89,0.22,0.69,0.17,0.34,0.02,0.98",0.0774361948955916,0.24408077994429,0.84984802431611,3
"4","0.94,0.11,0.28,0.95,0.65,0.83,0.28,0.25,0.38,0.61,0.24,0.87,0.39,0.12,0.44,0.98",0.0876318039327444,0.242010652463382,0.844606946983547,4
"5","0.5,0.99,0,0.4,0.08,0.13,0.82,0.06,0.79,0.19,0.3,0.05,0.47,0.52,0.07,0.98",0.0921771642220306,0.246885245901639,0.87409200968523,5
"6","0.5,0.37,0.76,0.34,0.45,0.03,0.83,0.22,0.92,0.68,0.76,0.61,0.83,0.65,0.15,0.98",0.0790348215575784,0.261426592797784,0.849846153846154,6
"7","0.94,0.7,0.75,0.42,0.14,0.06,0.34,0.05,0.59,0.61,0.75,0.07,0.84,0.43,0.6,0.98",0.0963152653293498,0.247165532879819,0.889919604205319,7
"8","0.99,0.15,0.18,0.56,0.75,0.08,0.62,0.34,0.89,0.33,0.56,0.58,0.03,0.47,0.73,0.98",0.0881006864988559,0.25461741424802,0.880722891566265,8
"9","0.91,0.99,0.57,0.88,0,0.24,0.45,0.02,0.44,0.49,0.65,0.39,0.08,0.26,0.13,0.98",0.0867501078981441,0.272324471710975,0.859975961538462,9
"10","0.6,0.96,0.41,0.55,0.75,0.4,0.98,0.83,0.58,0.3,0.12,0.89,0.97,0.6,0.64,0.98",0.0608286805759624,0.266146993318486,0.809096349491323,10
