"","elasticity","fom_2","fom_4","fom_8","iter"
"1","0.52,0.94,0.45,0.8,0.3,0.56,0.12,0.44,0.37,0.6,0.31,0.61,0.32,0.61,0.83,0.98",0.0804432292416175,0.264043054154053,0.88317191283293,1
"2","0.81,0.05,0.18,0.21,0.4,0.96,0.46,0.99,0.3,0.27,0.69,0.4,0.81,0.08,0.01,0.98",0.0999294283697953,0.2613849033063,0.879975505205144,2
"3","0.97,0.56,0.5,0.53,0.47,0.14,0.21,0.55,0.14,0.64,0.04,0.33,0.44,0.41,0.74,0.98",0.100845070422535,0.239950140230602,0.868772782503038,3
"4","0.36,0.21,0.43,0.36,0.92,0.07,0.62,0.61,0.61,0.93,0.07,0.81,0.6,0.49,0.58,0.98",0.0937809888086131,0.259525296689568,0.866707616707616,4
"5","0.68,0.34,0.41,0.89,0.03,0.9,0.08,0.28,0.44,0.48,0.23,0.87,0.24,0.66,0.64,0.98",0.0957642725598528,0.245199874095058,0.809721398933017,5
"6","0.92,0.27,0.52,0.24,0.64,0.73,0.59,0.75,0.46,0.55,0.76,0.34,0.17,0.05,0.71,0.98",0.100408393184059,0.249539594843462,0.89119804400978,6
"7","0.53,0.16,0.09,0.56,0.39,0.95,0.81,0.43,0.14,0.01,0.61,0.68,0.18,0.54,0.94,0.98",0.0965868857102393,0.253796095444686,0.855774985038898,7
"8","0.19,0.18,0.19,0.12,0.94,0.18,0.2,0.57,0.07,0.02,0.03,0.29,0.13,0.23,0.92,0.98",0.106009547879809,0.251072961373391,0.889158086008479,8
"9","0.02,0.91,0.06,0.61,0.66,0.76,0.35,0.98,0.32,0.06,0.84,0.26,0.46,0.06,0.34,0.98",0.0858448793029567,0.263293586851434,0.919708029197081,9
"10","0.94,0.2,0.93,0.02,0.78,0.11,0.66,0.14,0.42,0.83,0.87,0.17,0.19,0.21,0.74,0.98",0.102256699576869,0.265547263681592,0.864437689969604,10
"11","0.01,0.21,0.38,0.37,0.34,0.52,0.88,0.75,0.38,0.6,0.53,0.67,0.89,0.46,0.48,0.98",0.0931351733899505,0.253476611883692,0.810744810744811,11
"12","0.17,0.26,0.89,0.96,0.62,0.34,0.81,0.92,0.35,0.07,0.42,0.23,0.09,0.55,0.6,0.98",0.101183765501691,0.248220365212009,0.824162679425837,12
