Main_animals,Animals,1990,2014
Bovine,Male_calf_2,0.3,0.6
Bovine,Male_calf_1-2,0.3,0.6
Bovine,Non_dairy,1,1
Bovine,Other_calf,0.3,0.6
Bovine,Beef_calf,0.3,0.6
Bovine,Dairy_cows,0.3,0.3
Bovine,Female_calf_2,0.3,0.6
Bovine,Female_calf_1-2,0.3,0.6
Bovine,Female_calf-1,0.3,0.6
Equides,Horses,0.4,0.4
Equides,Other_equidae,0.4,0.4
Goats,Goats,0.8,0.8
Sheep,Ewes,0.8,0.8
Rabbits,Rabbits,0,0
Pigs,Pregnant_sows,0.02,0.08
Pigs,Other_swine,0.02,0.05
Pigs,Pigs_50,0.02,0.05
Pigs,Pigs_20,0.02,0.05
Pigs,Non_pregnant_sows,0.02,0.05
Poultry,Broilers,0.001,0.04
Poultry,Ducks,0,0
Poultry,Geese,0,0
Poultry,Laying_hens,0,0
Poultry,Turkeys,0,0
Poultry,Rep_hens,0,0
