Manure,Main_animals,C_N,Source
FYM,Goats,15,CdBP18
FYM,Bovine,18,CdBP18
FYM,Pigs,3,CdBP18
FYM,Sheep,15,CdBP18
FYM,Equides,21,CdBP18
FYM,Rabbits,8,CdBP18
FYM,Poultry,8,CdBP18
Slurry,Bovine,9,CdBP18
Slurry,Pigs,4,CdBP18
