"id","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
1,"29929","27511","30713","28633","28279","20582","12885","11250","9614","8667","7720","6348","4975","4632","4288","3945","3601","3190","2779","2367","1956","1545","1134","1123","1115","1078","1058","1026","983","913","877"
2,"1842","1726","1696","1751","1785","1295","1763","1641","1618","1602","1752","1772","843","778","712","647","581","516","451","451","451","451","451","451","448","446","456","456","456","453","454"
3,"20944","20771","19849","19898","19713","14017","8320","8154","7987","6639","5290","4880","4469","4290","4206","3897","3897","3830","3140","3154","3007","1793","1216","1201","1206","1207","1170","1061","989","1047","945"
4,"4424","4184","4297","4308","4259","2772","2250","2015","1961","1966","1620","1457","1150","1100","1064","1024","970","871","660","620","601","558","411","385","399","402","412","386","458","487","497"
5,"2259","2443","2182","2187","1892","1418","1198","1165","1160","1216","1104","855","637","542","475","522","522","537","423","428","428","399","241","239","236","170","169","98","113","110","114"
6,"1321","1313","1231","1234","1258","881","646","654","587","550","450","430","143","156","153","148","143","151","106","86","85","87","47","50","47","46","40","36","137","143","611"
7,"331","307","274","316","330","256","256","250","216","216","224","224","215","215","215","215","215","215","25","78","81","80","17","18","18","11","15","15","15","11","11"
