Main_anim,Animal,Straw,N_bedding,Units
Bovine,Male_calf_2,486,1.94,kg head-1 AND kg N head-1
Bovine,Male_calf_1-2,486,1.94,kg head-1 AND kg N head-1
Bovine,Non_dairy,486,1.94,kg head-1 AND kg N head-1
Bovine,Other_calf,486,1.94,kg head-1 AND kg N head-1
Bovine,Beef_calf,486,1.94,kg head-1 AND kg N head-1
Bovine,Dairy_cows,1596.9,6.39,kg head-1 AND kg N head-1
Bovine,Female_calf_2,486,1.94,kg head-1 AND kg N head-1
Bovine,Female_calf_1-2,486,1.94,kg head-1 AND kg N head-1
Bovine,Female_calf-1,486,1.94,kg head-1 AND kg N head-1
Equides,Horses,608.3,2.43,kg head-1 AND kg N head-1
Equides,Other_equidae,608.3,2.43,kg head-1 AND kg N head-1
Goats,Goats,47.7,0.19,kg head-1 AND kg N head-1
Sheep,Ewes,47.7,0.19,kg head-1 AND kg N head-1
Rabbits,Rabbits,0,0,kg head-1 AND kg N head-1
Pigs,Pregnant_sows,566.64,2.27,kg head-1 AND kg N head-1
Pigs,Non_pregnant_sows,566.64,2.27,kg head-1 AND kg N head-1
Pigs,Other_swine,192.46,0.77,kg head-1 AND kg N head-1
Pigs,Pigs_50,192.46,0.77,kg head-1 AND kg N head-1
Pigs,Pigs_20,192.46,0.77,kg head-1 AND kg N head-1
Poultry,Broilers,0,0,kg head-1 AND kg N head-1
Poultry,Ducks,0,0,kg head-1 AND kg N head-1
Poultry,Geese,0,0,kg head-1 AND kg N head-1
Poultry,Laying_hens,0,0,kg head-1 AND kg N head-1
Poultry,Turkeys,0,0,kg head-1 AND kg N head-1
Poultry,Rep_hens,0,0,kg head-1 AND kg N head-1
