Muni_ID,ID,Muni,FRAC_Spread,FRAC_RiverDischarge,FRAC_Transported
1820,1171820,Tarouca,0.9804,0,0.0275
409,1170409,Torre de Moncorvo,0.9784,0.0039,0.0255
410,1170410,Vila Flor,0.9701,0.0021,0.0214
914,1170914,Vila Nova de Foz Côa,0.95,0.0143,0.0429
1714,1171714,Vila Real,0.9458,0.0099,0.0565
401,1180401,Alfândega da Fé,0.9529,0.0131,0.0681
1702,1181702,Boticas,0.9892,0.0027,0.0175
402,1180402,Bragança,0.9748,0.0029,0.0323
1703,1181703,Chaves,0.9841,0.0033,0.0196
405,1180405,Macedo de Cavaleiros,0.973,0.0054,0.0232
406,1180406,Miranda do Douro,0.9832,0.0026,0.018
407,1180407,Mirandela,0.9744,0.0038,0.0219
408,1180408,Mogadouro,0.9884,0.0048,0.093
1706,1181706,Montalegre,0.9846,0.0021,0.0181
1707,1181707,Murça,0.9608,0.0109,0.0392
1712,1181712,Valpaços,0.9925,0.0024,0.0085
1713,1181713,Vila Pouca de Aguiar,0.9666,0.0018,0.0334
411,1180411,Vimioso,0.8907,0.0012,0.0235
412,1180412,Vinhais,0.9906,0.0073,0.0051
101,1610101,Águeda,0.9928,0.0041,0.0163
102,1610102,Albergaria-a-Velha,0.97,0.0033,0.0449
103,1610103,Anadia,0.9868,0.0061,0.0123
105,1610105,Aveiro,0.9725,0.0137,0.0118
108,1610108,Estarreja,0.9957,0,0.0071
110,1610110,Ílhavo,0.9896,0,0.0313
111,1610111,Mealhada,0.9743,0.0029,0.0228
112,1610112,Murtosa,0.9958,0,0.0125
114,1610114,Oliveira do Bairro,0.9857,0.0072,0.009
115,1610115,Ovar,0.9914,0,0.0143
117,1610117,Sever do Vouga,0.9727,0,0.072
118,1610118,Vagos,0.9875,0.0023,0.0125
602,1620602,Cantanhede,0.9855,0.0053,0.0154
603,1620603,Coimbra,0.9792,0.0072,0.0064
604,1620604,Condeixa-a-Nova,0.9783,0.0167,0.005
605,1620605,Figueira da Foz,0.9792,0.0052,0.0156
608,1620608,Mira,0.9783,0.0072,0.029
610,1620610,Montemor-o-Velho,0.9779,0.0107,0.0295
613,1620613,Penacova,0.9948,0,0.0017
615,1620615,Soure,0.9905,0.0019,0.0066
1004,1631004,Batalha,0.8465,0,0.1286
1009,1631009,Leiria,0.9069,0.0042,0.1165
1010,1631010,Marinha Grande,0.9848,0.0152,0
1015,1631015,Pombal,0.9823,0.0063,0.0209
1016,1631016,Porto de Mós,0.95,0.0056,0.05
1002,1641002,Alvaiázere,0.9892,0.0043,0.0086
1003,1641003,Ansião,0.9187,0.0035,0.0105
601,1640601,Arganil,0.9911,0.0045,0.0067
1007,1641007,Castanheira de Pêra,0.9574,0.0213,0.0213
1008,1641008,Figueiró dos Vinhos,0.9855,0,0.0145
606,1640606,Góis,0.964,0.009,0
607,1640607,Lousã,0.9877,0.0061,0.0184
609,1640609,Miranda do Corvo,0.9866,0.0033,0.0067
611,1640611,Oliveira do Hospital,0.9702,0.0261,0.0056
612,1640612,Pampilhosa da Serra,0.9703,0.005,0.0149
1013,1641013,Pedrógão Grande,0.9792,0.0052,0.0052
614,1640614,Penela,0.979,0.0157,0.0105
616,1640616,Tábua,0.9886,0.0076,0.0095
617,1640617,Vila Nova de Poiares,0.9847,0.0076,0
901,1650901,Aguiar da Beira,0.9775,0.006,0.009
1802,1651802,Carregal do Sal,0.9842,0.0053,0.0211
1803,1651803,Castro Daire,0.9821,0.006,0.0374
1806,1651806,Mangualde,0.9879,0.0075,0.0106
1808,1651808,Mortágua,0.9877,0.0046,0.0108
1809,1651809,Nelas,0.9899,0.002,0.0222
1810,1651810,Oliveira de Frades,0.9514,0.0026,0.0906
1811,1651811,Penalva do Castelo,0.9876,0,0.0025
1814,1651814,Santa Comba Dão,0.9742,0.0094,0.0164
1816,1651816,São Pedro do Sul,0.9879,0.0023,0.0477
1817,1651817,Sátão,0.9802,0.0012,0.052
1821,1651821,Tondela,0.9824,0.0125,0.0239
1822,1651822,Vila Nova de Paiva,0.9851,0,0.0597
1823,1651823,Viseu,0.9865,0.0074,0.0107
1824,1651824,Vouzela,0.9916,0,0.0591
1413,1661413,Mação,0.976,0.0024,0.0072
506,1660506,Oleiros,0.9937,0.0031,0.0031
508,1660508,Proença-a-Nova,0.9946,0.0018,0.0027
509,1660509,Sertã,0.991,0.0041,0.0049
510,1660510,Vila de Rei,0.8689,0.0055,0.0601
905,1670905,Fornos de Algodres,0.9916,0.0021,0.0084
906,1670906,Gouveia,0.9861,0,0.0155
912,1670912,Seia,0.985,0.0118,0.0075
902,1680902,Almeida,0.9911,0.0022,0.0067
903,1680903,Celorico da Beira,0.9913,0.0022,0.0043
904,1680904,Figueira de Castelo Rodrigo,0.9638,0,0.0556
907,1680907,Guarda,0.9734,0.0096,0.0096
908,1680908,Manteigas,0.9818,0,0.0364
909,1680909,Mêda,0.9864,0.0027,0.0325
910,1680910,Pinhel,0.9776,0.0011,0.0134
911,1680911,Sabugal,0.9871,0.001,0.0059
913,1680913,Trancoso,0.9892,0.0036,0.0072
502,1690502,Castelo Branco,0.9786,0.0037,0.0116
505,1690505,Idanha-a-Nova,0.8775,0,0.0252
507,1690507,Penamacor,0.9732,0.0072,0.0107
511,1690511,Vila Velha de Ródão,0.9892,0.0027,0.0054
501,16A0501,Belmonte,1,0,0
503,16A0503,Covilhã,0.9979,0.001,0.0031
504,16A0504,Fundão,0.9897,0.0089,0.0023
1001,16B1001,Alcobaça,0.7458,0.0059,0.1892
1101,16B1101,Alenquer,0.8251,0.0146,0.1341
1102,16B1102,Arruda dos Vinhos,0.7538,0.0077,0.2154
1005,16B1005,Bombarral,0.7754,0,0.087
1104,16B1104,Cadaval,0.8081,0.0116,0.157
1006,16B1006,Caldas da Rainha,0.818,0.012,0.148
1108,16B1108,Lourinhã,0.7605,0.0089,0.1729
1011,16B1011,Nazaré,0.8065,0,0.1935
1012,16B1012,Óbidos,0.7459,0.0055,0.0718
1014,16B1014,Peniche,0.8701,0.0065,0.1234
1112,16B1112,Sobral de Monte Agraço,0.8737,0.0051,0.1212
1113,16B1113,Torres Vedras,0.6752,0.0061,0.1706
1401,16C1401,Abrantes,0.635,0,0.14
1402,16C1402,Alcanena,0.7704,0,0.1946
1408,16C1408,Constância,0.9231,0,0.0769
1410,16C1410,Entroncamento,0.7778,0,0.2222
1411,16C1411,Ferreira do Zêzere,0.6361,0.0031,0.1621
1421,16C1421,Ourém,0.9045,0.004,0.0207
1417,16C1417,Sardoal,1,0,0
1418,16C1418,Tomar,0.8699,0.0066,0.085
1419,16C1419,Torres Novas,0.9417,0.0137,0.0377
1420,16C1420,Vila Nova da Barquinha,1,0,0
1115,1711115,Amadora,0.5,0,0.25
1105,1711105,Cascais,0.6842,0,0.3684
1106,1711106,Lisboa,0.5,0,0.5
1107,1711107,Loures,0.7265,0.0122,0.1878
1109,1711109,Mafra,0.5567,0.0116,0.1048
1116,1711116,Odivelas,0.6552,0,0.1034
1110,1711110,Oeiras,0.75,0,0.25
1111,1711111,Sintra,0.7123,0,0.1644
1114,1711114,Vila Franca de Xira,0.8649,0.009,0.1171
1502,1721502,Alcochete,0.78,0,0.14
1503,1721503,Almada,0.7679,0,0.1786
1504,1721504,Barreiro,0.9091,0,0.0455
1506,1721506,Moita,0.9353,0.0118,0.1
1507,1721507,Montijo,0.7933,0,0.2235
1508,1721508,Palmela,0.7939,0.0344,0.1284
1510,1721510,Seixal,0.9565,0,0
1511,1721511,Sesimbra,0.9333,0.0133,0.0667
1512,1721512,Setúbal,0.8714,0.0214,0.1214
1501,1811501,Alcácer do Sal,0.6444,0,0.4
1505,1811505,Grândola,0.8909,0.0091,0.1091
211,1810211,Odemira,0.9404,0,0.0229
1509,1811509,Santiago do Cacém,0.7984,0.0161,0.1935
1513,1811513,Sines,0.8889,0,0.1667
1201,1821201,Alter do Chão,0.8571,0,0.1429
1202,1821202,Arronches,0.7778,0,0.1111
1203,1821203,Avis,0.7778,0,0.0741
1204,1821204,Campo Maior,1,0,0
1205,1821205,Castelo de Vide,1,0,0
1206,1821206,Crato,0.8333,0,0.125
1207,1821207,Elvas,0.8293,0,0.0976
1208,1821208,Fronteira,0.975,0,0.025
1209,1821209,Gavião,0.9556,0,0
1210,1821210,Marvão,0.9375,0.0625,0
1211,1821211,Monforte,0,0,0.5
707,1820707,Mora,0.75,0,0.25
1212,1821212,Nisa,0.9274,0.0081,0.0484
1213,1821213,Ponte de Sor,0.8505,0,0.1121
1214,1821214,Portalegre,0.9617,0,0.0437
701,1830701,Alandroal,0.7333,0,0.2
702,1830702,Arraiolos,0.8205,0.0256,0.1538
703,1830703,Borba,0.6792,0,0.3585
704,1830704,Estremoz,0.8831,0,0.1234
705,1830705,Évora,0.6977,0.0233,0.2558
706,1830706,Montemor-o-Novo,0.7255,0.0196,0.2157
708,1830708,Mourão,0.75,0,0.25
709,1830709,Portel,0.8,0,0.2286
710,1830710,Redondo,0.9355,0,0.2581
711,1830711,Reguengos de Monsaraz,0.8966,0,0.1034
1215,1831215,Sousel,1,0,0
712,1830712,Vendas Novas,0.75,0.0625,0.2813
713,1830713,Viana do Alentejo,0.88,0,0.16
714,1830714,Vila Viçosa,0.4286,0,0.5714
201,1840201,Aljustrel,0.8358,0.0149,0.1194
202,1840202,Almodôvar,0.9198,0,0.0963
203,1840203,Alvito,1,0,0
204,1840204,Barrancos,0.9762,0,0.0238
205,1840205,Beja,0.7615,0.0092,0.1193
206,1840206,Castro Verde,0.9032,0,0.0645
207,1840207,Cuba,0.7429,0,0.2571
208,1840208,Ferreira do Alentejo,0.7568,0,0.2703
209,1840209,Mértola,0.9296,0,0.0282
210,1840210,Moura,0.913,0,0.1304
212,1840212,Ourique,0.86,0.04,0.12
213,1840213,Serpa,0.8218,0.1089,0.0891
214,1840214,Vidigueira,0.7667,0,0.2333
1403,1851403,Almeirim,0.85,0.05,0.1125
1404,1851404,Alpiarça,0.9268,0,0.0244
1103,1851103,Azambuja,0.6812,0.0072,0.2681
1405,1851405,Benavente,0.7571,0.0286,0.3286
1406,1851406,Cartaxo,0.6588,0.0353,0.2
1407,1851407,Chamusca,0.8915,0,0.124
1409,1851409,Coruche,0.7801,0.0052,0.1832
1412,1851412,Golegã,0.8276,0.0345,0.0345
1414,1851414,Rio Maior,0.8082,0,0.2662
1415,1851415,Salvaterra de Magos,0.5392,0.0196,0.1275
1416,1851416,Santarém,0.8455,0.0036,0.1399
801,1500801,Albufeira,0.6825,0,0.3968
802,1500802,Alcoutim,0.7863,0,0.2672
803,1500803,Aljezur,0.8853,0,0.1606
804,1500804,Castro Marim,0.533,0.0055,0.2198
805,1500805,Faro,0.6622,0,0.1757
806,1500806,Lagoa,0.9615,0,0.0641
807,1500807,Lagos,0.879,0.0081,0.121
808,1500808,Loulé,0.8399,0.009,0.0809
809,1500809,Monchique,0.9286,0.0084,0.1092
810,1500810,Olhão,0.7353,0,0.0588
811,1500811,Portimão,0.9524,0.0136,0.034
812,1500812,São Brás de Alportel,0.7965,0,0.0177
813,1500813,Silves,0.8462,0,0.1827
814,1500814,Tavira,0.9189,0.0021,0.0686
815,1500815,Vila do Bispo,0.6618,0.0147,0.4412
816,1500816,Vila Real de Santo António,0.7174,0,0.2391
