Muni_ID,ID,Muni,FRAC_Spread,FRAC_RiverDischarge,FRAC_Transported
1601,1111601,Arcos de Valdevez,0.9844,0.0024,0.0185
1602,1111602,Caminha,0.9891,0,0.0137
1603,1111603,Melgaço,0.9852,0.0012,0.0652
1604,1111604,Monção,0.9972,0.0011,0.0017
1605,1111605,Paredes de Coura,0.9876,0.0023,0.0135
1606,1111606,Ponte da Barca,0.9757,0,0.0243
1607,1111607,Ponte de Lima,0.9931,0.0013,0.0095
1608,1111608,Valença,0.9756,0,0.026
1609,1111609,Viana do Castelo,0.9898,0.0042,0.0068
1610,1111610,Vila Nova de Cerveira,0.9692,0.0038,0.0308
301,1120301,Amares,0.9863,0.0039,0.0078
302,1120302,Barcelos,0.9914,0.0026,0.0487
303,1120303,Braga,0.9861,0.0093,0.0116
306,1120306,Esposende,0.9944,0.0056,0.0098
310,1120310,Terras de Bouro,0.9805,0,0.0316
313,1120313,Vila Verde,0.9804,0.0117,0.0101
307,1130307,Fafe,0.9795,0.0029,0.0244
308,1130308,Guimarães,0.9781,0.0012,0.0195
309,1130309,Póvoa de Lanhoso,0.968,0.0018,0.0249
1314,1131314,Santo Tirso,0.9952,0,0.0048
1318,1131318,Trofa,0.996,0,0.0277
311,1130311,Vieira do Minho,0.9761,0.0066,0.0464
312,1130312,Vila Nova de Famalicão,0.9913,0.005,0.0273
314,1130314,Vizela,0.9895,0.0105,0
107,1140107,Espinho,1,0,0
1304,1141304,Gondomar,0.9948,0,0.0052
1306,1141306,Maia,0.9959,0,0.0041
1308,1141308,Matosinhos,1,0,0.0058
1312,1141312,Porto,1,0,0
1313,1141313,Póvoa de Varzim,0.9858,0,0.0284
1315,1141315,Valongo,0.9204,0.0398,0.0448
1316,1141316,Vila do Conde,0.9835,0.0018,0.0368
1317,1141317,Vila Nova de Gaia,0.9959,0,0.0041
1301,1151301,Amarante,0.9892,0.0046,0.0062
1302,1151302,Baião,0.9981,0.001,0.0058
304,1150304,Cabeceiras de Basto,0.9838,0.0027,0.0189
106,1150106,Castelo de Paiva,0.9965,0.0018,0.0018
305,1150305,Celorico de Basto,0.9947,0.0018,0.0062
1804,1151804,Cinfães,0.9765,0.0049,0.0195
1303,1151303,Felgueiras,0.9936,0.0016,0.0064
1305,1151305,Lousada,0.9737,0.012,0.0191
1307,1151307,Marco de Canaveses,0.9794,0.006,0.0097
1705,1151705,Mondim de Basto,0.972,0.0075,0.0355
1309,1151309,Paços de Ferreira,0.9886,0.0028,0.0228
1310,1151310,Paredes,0.9677,0.0044,0.025
1311,1151311,Penafiel,0.9776,0.019,0.0034
1813,1151813,Resende,0.9485,0.0021,0.0495
1709,1151709,Ribeira de Pena,0.9757,0.0037,0.0262
104,1160104,Arouca,0.9849,0.0038,0.0132
113,1160113,Oliveira de Azeméis,0.9919,0,0.0081
109,1160109,Santa Maria da Feira,0.9924,0.005,0.0025
116,1160116,São João da Madeira,0,0,0
119,1160119,Vale de Cambra,0.9818,0.0061,0.0137
1701,1171701,Alijó,0.9568,0.0048,0.0408
1801,1171801,Armamar,0.9665,0,0.0391
403,1170403,Carrazeda de Ansiães,0.9778,0.0089,0.0222
404,1170404,Freixo de Espada à Cinta,0.9758,0,0.0242
1805,1171805,Lamego,0.9394,0.0152,0.0278
1704,1171704,Mesão Frio,0.36,0,0
1807,1171807,Moimenta da Beira,0.929,0.0044,0.0333
1812,1171812,Penedono,0.9852,0.0037,0.0111
1708,1171708,Peso da Régua,0.716,0.0247,0.1605
1710,1171710,Sabrosa,0.9243,0.0032,0.0505
1711,1171711,Santa Marta de Penaguião,0.7471,0.0059,0.0235
1815,1171815,São João da Pesqueira,0.9565,0.0174,0.0261
1818,1171818,Sernancelhe,0.9834,0.0062,0.0125
1819,1171819,Tabuaço,0.924,0.0585,0.0117
