Year,sludge_tN
X1987,319
X1988,319
X1989,319
X1990,319
X1991,319
X1992,319
X1993,319
X1994,319
X1995,319
X1996,366
X1997,467
X1998,301
X1999,440
X2000,263
X2001,377
X2002,1419
X2003,1072
X2004,567
X2005,366
X2006,429
X2007,693
X2008,1191
X2009,2035
X2010,491
X2011,682
X2012,1087
X2013,1246
X2014,489
X2015,1648
X2016,1381
X2017,1118
