main_crop,crop,DM_frac,Res_trees,source
Citrus,Lemon,0.6,12,"Dias, 2002"
Citrus,Orange,0.6,12,"Dias, 2002"
Citrus,Other_citrus,0.6,12,"Dias, 2002"
Citrus,Tangerine,0.6,12,"Dias, 2002"
Dried_nuts,Almond,0.94,14.4,"Dias, 2002"
Dried_nuts,Chestnut,0.94,11.1,"Dias, 2002"
Dried_nuts,Locust,0.94,11.1,"Dias, 2002"
Dried_nuts,Nuuts,0.94,11.1,"Dias, 2002"
Dried_nuts,Other_dried_nuts,0.94,11.1,"Dias, 2002"
Fresh_fruits,Apple,0.6,4.8,"APA, 2017; Table 5.45"
Fresh_fruits,Cherry,0.6,4,"APA, 2017; Table 5.45"
Fresh_fruits,other_fresh,0.6,5.325,"APA, 2017; Table 5.45"
Fresh_fruits,Peach,0.6,7.9,"APA, 2017; Table 5.45"
Fresh_fruits,Pear,0.6,4.6,"APA, 2017; Table 5.45"
Olive_grove,Olive_grove,0.6,2.8,"Dias, 2002"
Vineyard,Vineyard,0.75,NA,"Dias, 2002"
