Main_crop,Crop,DM_frac,FRAC_removed,R_BG_BIO,source,slope,intercept,source,
Cereals,Barley,0.89,0.67,0.22,"APA, 2017; Table 5.45",0.98,0.59,"IPCC, 2006",
Cereals,Rainfed_maize,0.87,0.65,0.22,"APA, 2017; Table 5.45",1.03,0.61,"IPCC, 2006",
Cereals,Irrigated_maize,0.87,0.65,0.22,"APA, 2017; Table 5.45",1.03,0.61,"IPCC, 2006",
Cereals,Oat,0.89,0.67,0.25,"APA, 2017; Table 5.45",0.91,0.89,"IPCC, 2006",
Cereals,Rice,0.89,0.67,0.16,"APA, 2017; Table 5.45",0.95,2.46,"IPCC, 2006",
Cereals,Rye,0.88,0.67,0.23,"APA, 2017; Table 5.45",1.09,0.88,"IPCC, 2006",
Cereals,Triticale,0.88,0.67,0.23,"APA, 2017; Table 5.45",1.61,0.4,"IPCC, 2006",
Cereals,Wheat,0.89,0.67,0.24,"APA, 2017; Table 5.45",1.51,0.52,"IPCC, 2006",
Citrus,Lemon,0.6,0,NA,"Dias, 2002",NA,NA,NA,
Citrus,Orange,0.6,0,NA,"Dias, 2002",NA,NA,NA,
Citrus,Other_citrus,0.6,0,NA,"Dias, 2002",NA,NA,NA,
Citrus,Tangerine,0.6,0,NA,"Dias, 2002",NA,NA,NA,
Dried_fruits,Almond,0.94,0,NA,"Dias, 2002",NA,NA,NA,
Dried_fruits,Chestnut,0.94,0,NA,"Dias, 2002",NA,NA,NA,
Dried_fruits,Locust,0.94,0,NA,"Dias, 2002",NA,NA,NA,
Dried_fruits,Nuuts,0.94,0,NA,"Dias, 2002",NA,NA,NA,
Dried_fruits,Other_dried_nuts,0.94,0,NA,"Dias, 2002",NA,NA,NA,
Fresh_fruits,Apple,0.6,0,NA,"APA, 2017; Table 5.45",NA,NA,NA,
Fresh_fruits,Cherry,0.6,0,NA,"APA, 2017; Table 5.45",NA,NA,NA,
Fresh_fruits,other_fresh,0.6,0,NA,"APA, 2017; Table 5.45",NA,NA,NA,
Fresh_fruits,Peach,0.6,0,NA,"APA, 2017; Table 5.45",NA,NA,NA,
Fresh_fruits,Pear,0.6,0,NA,"APA, 2017; Table 5.45",NA,NA,NA,
Industry_crops,Sunflower,0.87,0,0.22,"APA, 2017; Table 5.45",0.1,1.06,"IPCC, 2006",
Industry_crops,Tomato,0.06,0,0.2,"APA, 2017; Table 5.45",0.1,1.06,"IPCC, 2006",
Olive_grove,Olive_grove,0.6,0,NA,"Dias, 2002",NA,NA,NA,
Potato,Irrigated_potato,0.19,0,0.2,"APA, 2017; Table 5.45",0.1,1.06,"IPCC, 2006",
Potato,Rainfed_potato,0.19,0,0.2,"APA, 2017; Table 5.45",0.1,1.06,"IPCC, 2006",
Vineyard,Vineyard,0.75,0,NA,"Dias, 2002",NA,NA,NA,
Pulses,Beans,0.88,0,0.19,"APA, 2017; Table 5.45",1.09,0.88,"IPCC, 2006",
Pulses,Chickpea,0.91,0,0.19,"APA, 2017; Table 5.45; CdBPA, 2018",1.09,0.88,"IPCC, 2006",
Pulses,Other_dried_pulses,0.91,0,0.19,"APA, 2017; Table 5.45",1.09,0.88,"IPCC, 2006",
Pastures,Intensive_pasture,0.9,0,0.8,"APA, 2017; Table 5.45; CdBPA, 2019",0.3,0,"IPCC, 2006",
Pastures,Extensive_pasture,0.9,0,0.8,"APA, 2017; Table 5.46",0.3,0,"IPCC, 2006",
Forage,forage_maize,0.3,0.91,0.22,"APA, 2017; Table 5.45; CdBPA, 2020",1.03,0.61,"IPCC, 2006",
Forage,Annual_mixtures,0.3,0.91,0.4,"APA, 2017; Table 5.47",0.18,0,"IPCC, 2006",
Forage,other_forage,0.3,0.91,0.4,"APA, 2017; Table 5.45; CdBPA, 2021",0.18,0,"IPCC, 2006",Non_legume_hay
Forage,forage_sorghum,0.3,0.91,0.22,"APA, 2017; Table 5.48",0.88,0.14,"IPCC, 2006",Non_legume_hay
Forage,forage_oat,0.3,0.91,0.22,"APA, 2017; Table 5.45; CdBPA, 2022",0.91,0.89,"IPCC, 2006",
Forage,forage_roots,0.3,0.91,0.4,"APA, 2017; Table 5.45; CdBPA, 2021",1.07,1.54,"IPCC, 2006",
