Main_animals_id,Main_animals,Animals,Animals_id
"""0000963""",Goats,Goats,1
"""0000963""",Goats,Other_caprine,2
"""0000543""",Bovine,Dairy_cows,2231
"""0000543""",Bovine,Non_dairy,2232
"""0000543""",Bovine,Beef_calf,11
"""0000543""",Bovine,Other_calf,121
"""0000543""",Bovine,Female_calf<1,122
"""0000543""",Bovine,Male_calf_1-2,211
"""0000543""",Bovine,Female_calf_1-2,212
"""0000543""",Bovine,Heifer_rep_+2,10202
"""0000543""",Bovine,Male_calf_+2,221
"""0000543""",Bovine,Female_calf_+2,222
"""0000544""",Pigs,Pigs_20-50,2
"""0000544""",Pigs,Pigs_+50,3
"""0000544""",Pigs,Pigs_20,1
"""0000544""",Pigs,Pregnant_sows,421
"""0000544""",Pigs,Non_pregnant_sows,422
"""0000544""",Pigs,Other_swine,41
"""0000545""",Sheep,Ewes,1
"""0000545""",Sheep,Other_ovine,1
"""0000547""",Equides,Horses,1
"""0000547""",Equides,Other_equidae,2
"""0003428""",Rabbits,Rabbits,1
"""0003428""",Rabbits,Other_rabbits,2
"""0003413""",Poultry,Broilers,1
"""0003413""",Poultry,Ducks,4
"""0003413""",Poultry,Geese,5
"""0003413""",Poultry,Rep_laying_hens,2
"""0003413""",Poultry,Turkeys,3
