Main_crop_id,Main_crop,Crop,Crop_id
101,Cereals,Wheat,10101
101,Cereals,Rye,10102
101,Cereals,Oat,10103
101,Cereals,Barley,10104
101,Cereals,Triticale,10105
101,Cereals,Irrigated_maize,1010601
101,Cereals,Rainfed_maize,1010602
101,Cereals,Rice,10107
102,Pulses,Beans,10201
102,Pulses,Chickpea,10202
103,Potato,Irrigated_potato,10301
103,Potato,Rainfed_potato,10302
104,Industry_crops,Tomato,10401
104,Industry_crops,Sunflower,10402
110,Fresh_fruits,Pear,11001
110,Fresh_fruits,Apple,11002
110,Fresh_fruits,Peach,11003
110,Fresh_fruits,Cherry,11004
110,Fresh_fruits,Plum,11005
110,Fresh_fruits,Fig,11008
113,Citrus,Orange,11301
113,Citrus,Tangerine,11302
113,Citrus,Lemon,11303
114,Dried_nuts,Almond,11401
114,Dried_nuts,Nuuts,11402
114,Dried_nuts,Chestnut,11403
115,Olive_grove,Olive_grove,115
116,Vineyard,Vineyard,116
4,Forage,forage_roots,41
4,Forage,Annual_mixtures,42
4,Forage,forage_sorghum,43
4,Forage,forage_oat,44
4,Forage,forage_maize,45
4,Forage,other_forage,49
8,Horticulture,Horticulture_intensive,82
8,Horticulture,Horticulture_extensive,81
